gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
Mfge8,0.09410112359550561,40.500082182572896,0.024729768169534917,0.30650121621127907,232.97322279454306,0.005221678069330196,0.0011569778174380704,0.23585957972747568,43
Mgp,0.05758426966292135,26.441732877390386,0.0005566288447457556,0.21410015552318418,183.42099846699136,3.305587627984875e-05,0.0010222414556207947,0.2368939505316766,26
Mmp17,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.000687974105407609,0.0022174211190711043,0.6135786963555545,77
Mmp2,0.047752808988764044,21.166905539832996,0.0012938731648730226,0.2312358014486255,185.80582054647402,6.0324005874784675e-05,0.0009846727704246766,0.2219686095371937,23
Mmrn1,0.06882022471910113,32.73637773167939,0.0006439735141200082,0.2120181332473778,184.48340529330656,3.9120626923586095e-05,0.0011949996823793594,0.28347467343636074,26
Mmrn2,0.0449438202247191,19.06199021376951,0.0005531060857472464,0.2422094412129356,186.8455707799493,0.00022546566018163416,0.0008309194318739607,0.26043526547724716,26
Mstn,0.05196629213483146,21.3301254412213,0.0004661894151298219,0.23141146022609216,181.75414644207353,9.983281437335626e-05,0.0009081036622899248,0.2292163790037766,26
NELL1,0.056179775280898875,26.40480195579936,0.00033318057070012695,0.22654044014398397,195.3417262461907,0.006481758596095357,0.0007178140574397334,0.34830656223126344,33
NGLY1,0.07865168539325842,34.19755284300879,0.0001254922179007143,0.25086053765992083,208.90449905362166,0.009417065143717446,0.0007917853532874671,0.27909809594387675,46
NID1,0.07584269662921347,32.87242938724664,0.00032001137818233537,0.24695097604594318,204.41175511249997,0.006192816092712191,0.0008177626982519357,0.28068977712121207,45
NID2,0.19803370786516852,84.88552430515044,3.950757755337474e-06,0.3166724440650576,253.53339279732447,0.04565180962630381,0.0014662620087850847,0.44329092895550865,100
NPNT,0.09550561797752809,45.104965055975015,0.0004069280487997598,0.25265178909855945,216.6457104880976,0.011634820029492494,0.0009682932586176093,0.39364414585263247,51
NTN1,0.2794943820224719,152.898259182805,0.0001034580284805478,0.3012766959325508,291.7861959865419,0.0946506872521033,0.0022983385234726476,0.5506658260489057,100
NTN3,0.1348314606741573,66.74813122124067,9.569613229595212e-05,0.2541170255296372,226.2662666072046,0.014264357026787178,0.0013406650185288612,0.413674921611447,59
NTN4,0.13623595505617977,67.13921432722238,6.097336135737501e-05,0.25414962168632016,226.1850286706633,0.014242446710135203,0.0013496652737005628,0.40830822891014823,59
Ncan,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.0006879741054076073,0.0022174211190711043,0.6135786963555543,77
Nell2,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.0006879741054076108,0.0022174211190711043,0.6135786963555543,77
Ngly1,0.043539325842696625,18.960337562408057,0.00039902653328908485,0.22044394712494242,176.16992208863164,3.500433010218785e-05,0.000956570472467798,0.24142019764916398,22
Nid1,0.04915730337078651,20.039126714677916,0.00033581440920368524,0.23196558459452452,181.93043451110063,5.464045915671234e-05,0.0008737730643137558,0.2474020578047331,26
Nid2,0.12780898876404495,52.60862342030802,0.003227769086110716,0.25471422022194334,206.63555114187412,0.00029184294903674123,0.0014550608673394442,0.36013972994460713,64
Npnt,0.04073033707865169,18.57953860505875,7.572285697730157e-05,0.207666106323153,170.11672243041005,1.0792431546795209e-05,0.0008937413046847768,0.3046168456030917,23
