gene,consensus_z,consensus_rank
Plod3,-0.9281077321615278,622.0
Mmrn2,-0.9289533399009987,623.0
Sdc4,-0.9322896931556595,624.0
Prg2,-0.9322896931556595,624.0
Serpinb8,-0.9358483583036799,626.0
Clec10a,-0.9373659371489738,627.0
Mbl1,-0.9376080135779019,628.0
Try4,-0.9400293452462645,629.0
Pik3ip1,-0.9401165896630833,630.0
Ogfod1,-0.9401165896630835,631.0
Lgi2,-0.9401165896630835,631.0
Cx3cl1,-0.9402535431080898,633.0
Col25a1,-0.9403610769241689,634.0
P3h1,-0.940774556224689,635.0
Serpind1,-0.9468450672670686,636.0
Ctsl,-0.950872031990253,637.0
Sparcl1,-0.9566710320590478,638.0
Mmp2,-0.9601338747363444,639.0
Dpt,-0.9674005932992051,640.0
Fgb,-0.9677996253867147,641.0
Cst3,-0.9747007543238807,642.0
Nid1,-0.9767408367117597,643.0
Mgp,-0.9771700909071893,644.0
Mstn,-0.9776669544782592,645.0
Clec1a,-0.978093258573529,646.0
Lama2,-0.9796721221758798,647.0
Col1a1,-0.9809097656587373,648.0
Serpina1a,-0.9838668916539799,649.0
Col5a2,-0.9943433722759486,650.0
Plod1,-0.9976698348094654,651.0
Lgals3,-0.9993103663099934,652.0
Mbl2,-1.013706983388687,653.0
Fbln1,-1.0168624481550685,654.0
WIF1,-1.0209207911138876,655.0
Serpinb9,-1.0281480916860657,656.0
Wnt4,-1.0338841600843145,657.0
Serpinb6b,-1.0338841600843145,657.0
Sdc1,-1.0338841600843145,657.0
Lgalsl,-1.0355020883569956,660.0
Col6a5,-1.0388913649232645,661.0
Col11a1,-1.0416545914013895,662.0
S100a13,-1.0453036574609937,663.0
Ngly1,-1.0467430643341686,664.0
Thbs4,-1.0532427309945187,665.0
Serpinf2,-1.0604300008799836,666.0
Sfrp1,-1.0628553236885132,667.0
Fcna,-1.0629060471866636,668.0
Agrn,-1.0648252166368048,669.0
Vwa9,-1.0670663382833714,670.0
Tnxb,-1.0671880746789324,671.0
Col6a4,-1.0679107830805814,672.0
Loxl1,-1.075484427846414,673.0
Npnt,-1.0755351513445643,674.0
Cilp,-1.0756061642419754,675.0
Adamtsl1,-1.0756771771393863,676.0
Masp2,-1.0764354789026127,677.0
Col3a1,-1.0819068583721867,678.0
Fgf13,-1.0877889509113876,679.0
Postn,-1.095169015050733,680.0
Podn,-1.1051617154128874,681.0
Col5a1,-1.1055850003634697,682.0
F13b,-1.106714113562005,683.0
Cpn2,-1.1085770782084918,684.0
Tgfbi,-1.1144129487043486,685.0
Ctsc,-1.117491157567642,686.0
S100a16,-1.118158862940498,687.0
C1qtnf9,-1.1204314934520456,688.0
Serpina10,-1.1276364122260487,689.0
Fgf2,-1.1341504436376983,690.0
Col18a1,-1.1367264128550412,691.0
Fbn1,-1.1411542690148029,692.0
Col2a1,-1.1460180405808102,693.0
Lama3,-1.1685965645409255,694.0
Serpina6,-1.1722866577206976,695.0
Col6a6,-1.176791414143872,696.0
Mfap5,-1.178244955517506,697.0
Ctsa,-1.1819066502132378,698.0
Ltbp1,-1.1854805509737067,699.0
Papln,-1.1899467337956142,700.0
Itih5,-1.19831783372717,701.0
Ogn,-1.2014288323651392,702.0
Col11a2,-1.215688513851863,703.0
Eln,-1.2213095242094834,704.0
Plg,-1.2230465059023254,705.0
Efemp2,-1.226483134835826,706.0
Fbn2,-1.2354544756129426,707.0
S100a9,-1.2429215701850092,708.0
Aebp1,-1.245495302220714,709.0
Gpc4,-1.2546353234329262,710.0
Fbln2,-1.2682380246750524,711.0
Pzp,-1.306932465507907,712.0
Ecm1,-1.4512773598810174,713.0
