protein_a,protein_b,spearman_rho,abs_rho,sign,p_value
SERPINB12,CSTA,0.8789452685668184,0.8789452685668184,1,1.575580881730919e-06
SERPINB12,EBI3,-0.6564324477763613,0.6564324477763613,-1,0.0030873358265856342
SERPINB12,EGF,0.6564324477763613,0.6564324477763613,1,0.0030873358265856342
SERPINB12,ELN,-0.894831572120644,0.894831572120644,-1,5.384854934427069e-07
SERPINB12,FGA,-0.5911177666967679,0.5911177666967679,-1,0.009780540503324187
SERPINB12,FGB,-0.6440072510854259,0.6440072510854259,-1,0.003921800852614943
SERPINB12,FGF2,-0.5517944241871094,0.5517944241871094,-1,0.017592227630556633
SERPINB12,FGL2,-0.6488326848249029,0.6488326848249029,-1,0.0035782187079089877
SERPINB12,FLG,0.733439104203093,0.733439104203093,1,0.0005327162893916535
SERPINB12,FLG2,0.5474324129287133,0.5474324129287133,1,0.01869782252465494
SERPINB12,FN1,-0.7668975236355434,0.7668975236355434,-1,0.00020454637903521004
SERPINB12,FNDC1,0.5088565921936667,0.5088565921936667,1,0.03103587362790675
SERPINB12,FRAS1,0.8135150996908767,0.8135150996908767,1,4.0217686981961055e-05
SERPINB12,FREM2,0.8178771109492728,0.8178771109492728,1,3.377186537013081e-05
SERPINB12,HTRA1,-0.5848053372971992,0.5848053372971992,-1,0.01079899491408041
SERPINB12,KCP,-0.6564324477763613,0.6564324477763613,-1,0.0030873358265856342
SERPINB12,KNG1,-0.670451993279755,0.670451993279755,-1,0.002326705629114881
SERPINB12,LAMC3,0.8178771109492728,0.8178771109492728,1,3.377186537013081e-05
SERPINB12,LGALS2,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB12,MFAP1,0.6564324477763613,0.6564324477763613,1,0.0030873358265856342
SERPINB12,MFAP5,-0.8135150996908767,0.8135150996908767,-1,4.0217686981961055e-05
SERPINB12,MMP9,0.79863813229572,0.79863813229572,1,7.067492844305591e-05
SERPINB12,MUC1,-0.6564324477763613,0.6564324477763613,-1,0.0030873358265856342
SERPINB12,NTN3,0.6564324477763613,0.6564324477763613,1,0.0030873358265856342
SERPINB12,NTN4,-0.6512432584658762,0.6512432584658762,-1,0.0034160515583004183
SERPINB12,PLXNB2,0.5252918287937745,0.5252918287937745,1,0.02518095846197379
SERPINB12,PRG2,-0.7441634241245138,0.7441634241245138,-1,0.00039813155811914023
SERPINB12,PRG3,0.7149805447470818,0.7149805447470818,1,0.0008532064951870279
SERPINB12,S100A8,-0.7188071532504207,0.7188071532504207,-1,0.0007761212821928008
SERPINB12,S100A9,-0.7668975236355434,0.7668975236355434,-1,0.00020454637903521004
SERPINB12,SDC1,-0.7149805447470818,0.7149805447470818,-1,0.0008532064951870279
SERPINB12,SEMA3G,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB12,SERPING1,-0.7497862198627423,0.7497862198627423,-1,0.0003398434596856272
SERPINB12,SERPINI2,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB12,SRPX,-0.5505276405632018,0.5505276405632018,-1,0.01790784115033121
SERPINB12,TGFBI,-0.7108968931063759,0.7108968931063759,-1,0.0009424096824754915
