canonical_gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number,rank_degree_centrality,percentile_degree_centrality,rank_strength,percentile_strength,rank_betweenness_centrality,percentile_betweenness_centrality,rank_closeness_centrality,percentile_closeness_centrality,rank_harmonic_centrality,percentile_harmonic_centrality,rank_eigenvector_centrality,percentile_eigenvector_centrality,rank_pagerank,percentile_pagerank,rank_clustering_coefficient,percentile_clustering_coefficient,rank_core_number,percentile_core_number
SERPING1,0.20365168539325842,92.47983787835405,0.00022124243429889851,0.2636512951969008,237.012223911954,0.05084950984624795,0.0015561383279843006,0.4438453259796538,100,164.0,23.00140252454418,219.0,30.715287517531557,473.0,66.33941093969145,342.0,47.96633941093969,268.0,37.58765778401122,157.0,22.019635343618514,271.0,38.008415147265076,289.0,40.53295932678822,1.0,0.1402524544179523
SERPINH1,0.09129213483146068,36.721220431102665,0.0007822500355568198,0.26770481529520707,211.6943556142255,0.0036598451721308557,0.0009383972108765374,0.24138001525143551,46,426.0,59.74754558204769,472.0,66.19915848527349,246.0,34.50210378681627,312.0,43.75876577840112,443.0,62.13183730715287,365.0,51.19214586255259,544.0,76.29733520336606,645.0,90.46283309957924,429.0,60.16830294530154
SERPINI2,0.13623595505617977,67.13921432722238,6.229028060915415e-05,0.25414962168632016,226.1850286706633,0.01424244671013522,0.0013496652737005628,0.4083082289101481,59,321.0,45.02103786816269,306.0,42.91725105189341,599.0,84.01122019635343,392.0,54.97896213183731,309.0,43.338008415147264,240.0,33.66058906030855,329.0,46.14305750350631,362.0,50.771388499298745,337.0,47.26507713884993
Serpina10,0.04073033707865169,17.63906511867189,0.0004108788065550973,0.2157286694995008,173.10946135474484,3.5004928278898206e-05,0.000843935735700616,0.20942169227696417,23,653.0,91.58485273492286,667.0,93.54838709677419,369.0,51.7531556802244,656.0,92.00561009817672,674.0,94.53015427769986,634.0,88.92005610098177,610.0,85.55399719495091,695.0,97.47545582047685,640.0,89.76157082748948
Serpina1a,0.046348314606741575,20.012903991610287,0.000450386384108472,0.23579916849882035,186.08258423623937,4.7529596820773187e-05,0.0008866681556894391,0.2164379725800895,24,627.0,87.9382889200561,638.0,89.48106591865358,359.0,50.350631136044875,552.0,77.41935483870968,614.0,86.11500701262273,624.0,87.51753155680224,575.0,80.64516129032258,691.0,96.91444600280505,637.0,89.34081346423562
Serpina1b,0.04915730337078651,20.74808588968424,0.0019082159958279997,0.25342187067664934,195.5491091949056,0.0002838815281752889,0.0008060415596482188,0.20679606111580548,26,611.0,85.69424964936886,632.0,88.63955119214586,121.0,16.97054698457223,417.0,58.48527349228612,561.0,78.68162692847125,557.0,78.12061711079944,638.0,89.48106591865358,699.0,98.03646563814866,542.0,76.01683029453015
Serpina1c,0.14185393258426965,73.50243834107323,0.000337789788081354,0.2328130695736663,214.79586284211382,0.00033793426779429875,0.001746597296976356,0.5467726815034077,77,305.0,42.776998597475455,273.0,38.288920056100984,402.0,56.381486676016834,572.0,80.22440392706872,392.0,54.97896213183731,526.0,73.77279102384293,207.0,29.03225806451613,147.0,20.61711079943899,203.0,28.471248246844322
Serpina1d,0.15730337078651685,62.31692465291696,0.0011457197490478675,0.2559082703393764,209.75665571511507,0.0003124173712680534,0.0016733648720302324,0.3505954954160295,77,280.0,39.27068723702665,331.0,46.423562412342214,183.0,25.666199158485277,384.0,53.85694249649369,457.0,64.09537166900421,544.0,76.29733520336606,233.0,32.678821879382895,461.0,64.65638148667601,203.0,28.471248246844322
Serpina1e,0.13342696629213482,58.171617497774214,0.014752129458430126,0.2776956030376803,222.61158765784108,0.0010027048947450644,0.0014233822916344765,0.4186733584961884,71,339.0,47.54558204768583,351.0,49.22861150070126,26.0,3.6465638148667603,200.0,28.050490883590463,339.0,47.54558204768583,417.0,58.48527349228612,311.0,43.61851332398317,336.0,47.12482468443198,327.0,45.86255259467041
Serpina3k,0.13764044943820225,62.48566291242148,0.0019082159958279997,0.24671639141177368,210.4592707525554,0.0003127130472578028,0.0015038961088636666,0.5107652994850227,75,317.0,44.460028050490884,328.0,46.00280504908836,121.0,16.97054698457223,468.0,65.63814866760168,450.0,63.11360448807854,543.0,76.1570827489481,287.0,40.252454417952315,188.0,26.367461430575034,306.0,42.91725105189341
