Early_Protein,Late_Protein,Lag,F_Statistic,P_Value,Causal
TIMP3,Pag1,3,0.024470423571263854,0.9942699917657828,False
MFAP2,ADAMTS5,1,1.179344900345278,0.2988234315577588,False
MFAP2,ADAMTS5,2,1.820826286788815,0.21675741589099795,False
MFAP2,ADAMTS5,3,2.305624745526503,0.17657767977125483,False
MFAP2,Megf8,1,1.9116137639545148,0.19197358652056376,False
MFAP2,Megf8,2,1.3538234098576858,0.3061808575374963,False
MFAP2,Megf8,3,1.3667975395407377,0.33971558554006476,False
MFAP2,CCL16,1,0.04122093927176016,0.8425139159658543,False
MFAP2,CCL16,2,2.3054614831115345,0.15545231731128475,False
MFAP2,CCL16,3,2.8389903206226674,0.12808586665075603,False
MFAP2,Adamtsl4,1,1.4230352223003433,0.2559578616302411,False
MFAP2,Adamtsl4,2,1.024001062726706,0.39747921315916096,False
MFAP2,Adamtsl4,3,1.8636044098287958,0.23657161091591425,False
MFAP2,Sema4b,1,1.1176432653265942,0.3112450221026239,False
MFAP2,Sema4b,2,0.9749280386565384,0.4137647065172809,False
MFAP2,Sema4b,3,1.6202089783080091,0.2811507914903777,False
MFAP2,Pag1,1,1.9116137639545152,0.19197358652056376,False
MFAP2,Pag1,2,1.353823409857691,0.3061808575374951,False
MFAP2,Pag1,3,1.366797539540744,0.3397155855400631,False
Cilp2,ADAMTS5,1,1.9040422147407592,0.19279446921679488,False
Cilp2,ADAMTS5,2,1.5164119403024472,0.2706682230260144,False
Cilp2,ADAMTS5,3,2.7675483192489043,0.13346973436240492,False
Cilp2,Megf8,1,4.01439393258041,0.06822323479607109,False
Cilp2,Megf8,2,13.175545292232687,0.0021197205922495518,True
Cilp2,Megf8,3,6.230875355113307,0.028368532914453362,True
Cilp2,CCL16,1,0.0,1.0,False
Cilp2,CCL16,2,6.229696320139206e-16,0.999999999999999,False
Cilp2,CCL16,3,0.0,1.0,False
Cilp2,Adamtsl4,1,0.0,1.0,False
Cilp2,Adamtsl4,2,0.0,1.0,False
Cilp2,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
Cilp2,Sema4b,1,0.037983760532879766,0.8487365091786963,False
Cilp2,Sema4b,2,0.04058773144388042,0.9603996450359094,False
Cilp2,Sema4b,3,0.02183665132250488,0.9951527596474883,False
Cilp2,Pag1,1,4.014393932580265,0.06822323479607549,False
Cilp2,Pag1,2,13.175545292232478,0.002119720592249664,True
Cilp2,Pag1,3,6.230875355113209,0.028368532914454334,True
PRG3,ADAMTS5,1,31.483304264110302,0.00011412591038465871,True
PRG3,ADAMTS5,2,20.660918423322492,0.0004327002124890491,True
PRG3,ADAMTS5,3,11.806239099041395,0.003967570489012649,True
PRG3,Megf8,1,0.060157806952266635,0.8103910401861844,False
PRG3,Megf8,2,0.06846789407252397,0.9343050898606922,False
PRG3,Megf8,3,0.07144261633731057,0.9731231195934678,False
PRG3,CCL16,1,0.0,1.0,False
PRG3,CCL16,2,0.0,1.0,False
PRG3,CCL16,3,0.0,1.0,False
PRG3,Adamtsl4,1,0.0,1.0,False
PRG3,Adamtsl4,2,0.0,1.0,False
PRG3,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
PRG3,Sema4b,1,0.004010698724609032,0.9505463566167941,False
PRG3,Sema4b,2,0.005774685864339495,0.9942456363309015,False
PRG3,Sema4b,3,0.01264989212125684,0.9978364079208146,False
PRG3,Pag1,1,0.060157806952214,0.8103910401862653,False
PRG3,Pag1,2,0.06846789407252628,0.9343050898606898,False
PRG3,Pag1,3,0.07144261633732277,0.9731231195934613,False
Col12a1,ADAMTS5,1,2.557939909543866,0.1357237448604612,False
Col12a1,ADAMTS5,2,2.2957957327801166,0.15644975525746327,False
Col12a1,ADAMTS5,3,2.128470722259246,0.197925211978221,False
Col12a1,Megf8,1,1.0501893537328222,0.3256787449601488,False
Col12a1,Megf8,2,0.7209396716164118,0.5123742254379098,False
Col12a1,Megf8,3,3.391422644402411,0.09475690012532723,False
Col12a1,CCL16,1,0.6885802702439057,0.42284872748115393,False
Col12a1,CCL16,2,0.48848886682642684,0.6289205406626955,False
Col12a1,CCL16,3,0.5744905399617456,0.6524754478246033,False
Col12a1,Adamtsl4,1,0.43488448755656145,0.5220567993616969,False
Col12a1,Adamtsl4,2,0.26536431361781976,0.7727229750115944,False
Col12a1,Adamtsl4,3,0.2238410421024598,0.8765571199915358,False
Col12a1,Sema4b,1,0.2283412186623427,0.6413431296584784,False
Col12a1,Sema4b,2,0.15729026750580935,0.8567545773302896,False
Col12a1,Sema4b,3,0.2461227160267987,0.8613580125015562,False
Col12a1,Pag1,1,1.050189353732767,0.32567874496016097,False
Col12a1,Pag1,2,0.7209396716163887,0.5123742254379201,False
Col12a1,Pag1,3,3.3914226444023896,0.09475690012532828,False
Aspn,ADAMTS5,1,4.258166576818855,0.06138629614292915,False
Aspn,ADAMTS5,2,6.1960503020691355,0.020321270034186576,True
Aspn,ADAMTS5,3,4.838354465947038,0.04832066319633327,True
Aspn,Megf8,1,0.04775667033281315,0.8306862710360846,False
Aspn,Megf8,2,3.4924238917585164,0.07540549926887155,False
Aspn,Megf8,3,2.439071497146276,0.16244894398329635,False
Aspn,CCL16,1,0.0,1.0,False
Aspn,CCL16,2,6.229696320139206e-16,0.999999999999999,False
Aspn,CCL16,3,0.0,1.0,False
Aspn,Adamtsl4,1,0.0,1.0,False
Aspn,Adamtsl4,2,-6.197772799903523e-16,1.0,False
Aspn,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
Aspn,Sema4b,1,0.023135752358991114,0.8816319866384099,False
Aspn,Sema4b,2,0.023010476984027868,0.9773095445584348,False
Aspn,Sema4b,3,0.009673367213885098,0.9985474038227539,False
Aspn,Pag1,1,0.04775667033285158,0.8306862710360168,False
Aspn,Pag1,2,3.4924238917584685,0.07540549926887356,False
Aspn,Pag1,3,2.4390714971461427,0.16244894398330967,False
