Gene_Symbol,Gradient_Magnitude,Mean_Zscore,Zscore_Range,Quartile
SERPINA12,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
SERPINB7,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
COL17A1,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
COCH,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
A2ML1,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
S100A2,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
CCL28,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
VEGFB,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
S100A3,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
SERPINB4,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
PXN,5.0187718564354e-16,-0.7293681205920978,0.0,Q4_Late_Change
Slit3,4.787836793695988e-16,-0.6708309953976588,0.0,Q4_Late_Change
Coch,4.774284266539919e-16,0.43660840464848766,0.0,Q4_Late_Change
WNT6,4.755310728521422e-16,-1.269092804626879,0.0,Q4_Late_Change
Lgals3,4.591596200476111e-16,0.6526580528709343,0.0,Q4_Late_Change
S100P,4.563406943991488e-16,0.43504554856926164,0.0,Q4_Late_Change
GREM1,4.504860026677271e-16,0.36730265776896215,0.0,Q4_Late_Change
TSPEAR,4.48697069083126e-16,-0.3220384521172738,0.0,Q4_Late_Change
SERPINA1C,4.38451358553138e-16,0.5553581152755925,0.0,Q4_Late_Change
Npnt,4.360119036650456e-16,0.4037302201968902,0.0,Q4_Late_Change
BMP5,4.2500725161431774e-16,0.4582499127049795,0.0,Q4_Late_Change
CLEC10A,4.2479041117982064e-16,0.5047969625163731,0.0,Q4_Late_Change
