Gene_Symbol,N_Measurements,N_Studies,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Std_Zscore_Delta,Direction_Consistency,Dominant_Direction,Cumulative_Effect,Combined_P_Value,Is_Weak_Signal
Ehd2,4,1,-0.11707192214494949,0.11707192214494949,0.03203427878926539,1.0,decrease,-0.46828768857979797,0.6102600175364135,False
Fetub,4,1,0.25905854719212806,0.25905854719212806,0.29214858467267424,1.0,increase,1.0362341887685123,0.47181872259550983,False
Prkacb,4,1,0.10634188899265487,0.10634188899265487,0.1445675381535383,0.5,decrease,0.4253675559706195,0.7633306688696232,False
Ppp1r1a,2,1,0.4411375943374869,0.4411375943374869,0.31599620777297743,1.0,increase,0.8822751886749738,0.3327037010663083,False
Xdh,4,1,0.018892143959463648,0.018892143959463648,0.07571956558597524,0.75,increase,0.07556857583785459,0.6828889559165481,False
Cpm,2,1,-0.003395502986289045,0.003395502986289045,0.15090747059636445,0.5,decrease,-0.00679100597257809,0.5896838792815051,False
Mif,4,1,0.2717451880984444,0.2717451880984444,0.12666824851521596,1.0,increase,1.0869807523937776,0.4819153157500933,False
Ago2,4,1,0.018853926073340327,0.018853926073340327,0.056619235029923054,0.5,decrease,0.07541570429336131,0.7103580442906612,False
Pecam1,4,1,-0.1385846043865298,0.1385846043865298,0.06288410758667623,1.0,decrease,-0.5543384175461192,0.5925197417049762,False
Calu,4,1,-0.02975126335800687,0.02975126335800687,0.13509376963408648,0.5,decrease,-0.11900505343202748,0.6713901956643968,False
Scpep1,2,1,-0.05884106098441395,0.05884106098441395,0.04005872140625864,1.0,decrease,-0.1176821219688279,0.5633792027063858,False
Hspa8,4,1,-0.06317609694283505,0.06317609694283505,0.0821863168667966,0.75,decrease,-0.2527043877713402,0.6498872037577488,False
Smc3,4,1,-0.06237250841493782,0.06237250841493782,0.04620318798207123,0.75,decrease,-0.24949003365975128,0.651846381166518,False
Snca,3,1,0.03404394692677501,0.03404394692677501,0.21218819935788047,0.6666666666666666,increase,0.10213184078032503,0.6212550897895994,False
Gars,4,1,0.04325489382171745,0.04325489382171745,0.11317493006702545,0.75,increase,0.1730195752868698,0.6630472690878091,False
Lman2,4,1,-0.15975149791802667,0.15975149791802667,0.06912449064048337,1.0,decrease,-0.6390059916721067,0.5754921092385523,False
Prkaca,4,1,-0.06250208101655165,0.06250208101655165,0.30496263125188133,0.5,decrease,-0.2500083240662066,0.625507777968138,False
Cpa3,4,1,0.20898202127617832,0.20898202127617832,0.24970883760217974,0.75,increase,0.8359280851047133,0.5195762364200217,False
Vldlr,4,1,-0.05506605120284085,0.05506605120284085,0.10195019197263638,0.75,decrease,-0.2202642048113634,0.6549391700473537,False
