metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
CDP-choline,36800.0,,31300.0,,66200.0,,27200.0,,177000.0,,56300.0,,78000.0,,12900.0,,41400.0,,16900.0,,33200.0,,33700.0,,7590.0,,11300.0,,23800.0,,13600.0,
CDP-ethanolamine,,298000.0,,707000.0,,169000.0,,231000.0,,741000.0,,535000.0,,430000.0,,97800.0,,454000.0,,113000.0,,130000.0,,403000.0,,208000.0,,105000.0,,509000.0,,129000.0
CMP,106000.0,,621000.0,,248000.0,,191000.0,,943000.0,,830000.0,,354000.0,,134000.0,,493000.0,,155000.0,,115000.0,,661000.0,,184000.0,,42600.0,,405000.0,,190000.0,
CMP-N-acetylneuraminate,,444000.0,,556000.0,,422000.0,,387000.0,,613000.0,,507000.0,,531000.0,,195000.0,,665000.0,,276000.0,,158000.0,,607000.0,,273000.0,,201000.0,,406000.0,,312000.0
CTP,,69300.0,,0.0,,10500.0,,75600.0,,9900.0,,0.0,,19900.0,,20900.0,,11000.0,,11600.0,,23000.0,,2550.0,,11000.0,,25400.0,,0.0,,0.0
Carbamoyl phosphate,,35100.0,,42300.0,,37600.0,,52700.0,,45900.0,,42300.0,,35400.0,,36100.0,,49200.0,,32100.0,,46100.0,,38400.0,,34600.0,,26400.0,,29800.0,,31800.0
Carnosine,17400000.0,,78900.0,,3650000.0,,17200000.0,,87400.0,,149000.0,,7530000.0,,16300000.0,,47800.0,,19400000.0,,16400000.0,,65500.0,,16100000.0,,14700000.0,,84200.0,,16000000.0,
CerP,,2190.0,,4060.0,,2360.0,,2340.0,,2720.0,,9720.0,,8930.0,,10500.0,,20700.0,,1150.0,,1700.0,,0.0,,2000.0,,1400.0,,15600.0,,11900.0
Cervonyl carnitine,25300.0,,47500.0,,35700.0,,94700.0,,8210.0,,31600.0,,39300.0,,0.0,,12600.0,,5540.0,,81800.0,,39200.0,,9680.0,,40400.0,,1520.0,,37900.0,
Cholesterol sulfate,,108000.0,,1310000.0,,116000.0,,484000.0,,621000.0,,985000.0,,333000.0,,68800.0,,513000.0,,56300.0,,106000.0,,827000.0,,119000.0,,69900.0,,459000.0,,107000.0
Citrate,,4350000.0,,8180000.0,,5240000.0,,5210000.0,,4920000.0,,6720000.0,,6710000.0,,2430000.0,,10900000.0,,2290000.0,,2200000.0,,10900000.0,,3460000.0,,2400000.0,,12100000.0,,3990000.0
Creatine,,67800000.0,,1420000.0,,43700000.0,,67000000.0,,1150000.0,,4060000.0,,57100000.0,,64300000.0,,549000.0,,60500000.0,,47100000.0,,713000.0,,52300000.0,,61300000.0,,815000.0,,51600000.0
Creatinine,,1020000.0,,61600.0,,732000.0,,707000.0,,61100.0,,82500.0,,969000.0,,1050000.0,,67700.0,,880000.0,,862000.0,,37700.0,,672000.0,,1110000.0,,99000.0,,961000.0
Cys-Gly,259000.0,,485000.0,,273000.0,,447000.0,,668000.0,,312000.0,,334000.0,,366000.0,,256000.0,,394000.0,,484000.0,,294000.0,,456000.0,,418000.0,,192000.0,,370000.0,
Cytidine,882000.0,,1130000.0,,1980000.0,,1130000.0,,1260000.0,,1470000.0,,1120000.0,,398000.0,,1470000.0,,688000.0,,429000.0,,1340000.0,,578000.0,,335000.0,,1860000.0,,722000.0,
Cytosine,527000.0,,666000.0,,1130000.0,,817000.0,,845000.0,,869000.0,,605000.0,,183000.0,,1140000.0,,449000.0,,262000.0,,814000.0,,397000.0,,180000.0,,1080000.0,,405000.0,
D-Arabitol/Xylitol/Ribitol,,371000.0,,189000.0,,419000.0,,481000.0,,250000.0,,360000.0,,719000.0,,336000.0,,217000.0,,353000.0,,208000.0,,168000.0,,371000.0,,305000.0,,143000.0,,411000.0
D-Erythrose 4-phosphate,,1380000.0,,760000.0,,907000.0,,4110000.0,,471000.0,,1080000.0,,2340000.0,,726000.0,,397000.0,,473000.0,,1110000.0,,320000.0,,1350000.0,,1330000.0,,403000.0,,824000.0
