Gene,N_Observations,Separation_Score,Bimodality_Coefficient,Cluster0_Mean,Cluster0_Std,Cluster0_N,Cluster1_Mean,Cluster1_Std,Cluster1_N,Overall_Mean,Overall_Std
LUM,10,2.2393025478620756,0.46124758562047136,0.1629841087501233,0.14025787985778443,7,-0.6489800768279707,0.2213390306638861,3,-0.08060514692330488,0.4085558799858638
F2,14,2.18719655630484,0.3918909379535505,0.09071835461395378,0.426552990520324,11,1.8999012503402763,0.39961679013388796,3,0.4784004036981658,0.8533868567498339
HRG,10,2.1792076383142818,0.48830861595058517,0.12343882780329939,0.2504785884984978,7,1.5906236826557894,0.4217866979555391,3,0.5635942842590463,0.7411757318772658
TNC,10,2.143442740704616,0.39700686202103097,0.035312888036421027,0.14038182640746036,7,-0.5965900856708928,0.15342566329463808,3,-0.15425800407577311,0.32358933479782154
COL6A1,10,2.141202985584791,0.3204319182284766,-0.00576656380653685,0.052993772115587236,4,-0.30985328211483254,0.08802299152405696,6,-0.18821859479151426,0.1672263732659539
ITIH4,12,2.0620071091542163,0.5353600963905987,-0.02526820672294223,0.3884071893821648,9,2.0931429441747924,0.6379467617720841,3,0.5043345810014913,1.027777439226587
COL5A2,12,2.056115659333688,0.4769687453503784,-0.15239218486134015,0.13864435920499815,9,-0.8183764258623188,0.18425971592703982,3,-0.3188882451115848,0.32567993293947517
SERPINF1,11,2.0211246504003055,0.42482997904404873,1.4353997398652985,0.42508218592725694,3,-0.17035394441361085,0.3684030448381353,8,0.2675788785715463,0.8120428209570542
POSTN,11,1.9834412500404912,0.2552711807176314,-0.014802577055714049,0.45915432014861385,9,1.4216980931789478,0.2640923245177388,2,0.24637936298695182,0.7015298870364356
COL5A1,10,1.9649187945360183,0.31810765276422265,-0.11379577422342473,0.17321688497410978,6,-0.655653663455789,0.10154916232471241,4,-0.3305389299163704,0.3042921947753926
MATN2,11,1.9301948085696956,0.3515573779688876,-0.544160310865425,0.21189447774289527,6,0.386900749279819,0.2694718906731377,5,-0.12095073807213229,0.5219434694706468
NID1,10,1.9244775604040247,0.47646694153353275,0.007882494883320303,0.1293924640111675,8,-0.5836752826183278,0.17699370129047232,2,-0.1104290606170093,0.2750450481525445
LGALS1,10,1.9085949501789072,0.35666159614792997,-0.7899543255337771,0.2790203735416718,3,0.2586827787488014,0.26940846372119615,7,-0.05590835253597215,0.5523465469639894
LAMA5,10,1.8816488528079827,0.2849389608104733,0.08865372197981118,0.13925344574703155,6,-0.3351378528079939,0.08497007252811387,4,-0.08086290793531088,0.24005564002600882
