Protein,Study_ID,Tissue,Pattern,N_Compartment_Pairs,Divergence
Itih3,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.1990935063433184
Prkacb,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.19902091035267247
Ecm1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.19741818876307984
PLXDC2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1974071223847762
Anpep,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1969519194464978
Gpx7,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.1962363146243128
Sparcl1,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.19473228496726147
Aldoa,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.19470795535017812
Entpd1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.19436710121439874
Tgm2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.19396379197282645
S100A13,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.19338060035036228
HAPLN1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.19287604539560535
FGFBP2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.19167472826641987
HSPG2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.18989589015960281
Gstm1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1895255392630374
Hnrnpa2b1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.18942579553010777
Tsg101,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.18868197336346126
Serpinb6a,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.188518281541498
Ahsg,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1885093412587755
CCL14,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.18734656781669612
Hsp90ab1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1857291185905208
Lgals1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.185484235886303
Ctsb,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.18543768832996627
Nampt,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.18519693254528158
Tinagl1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.1825776348309495
EDIL3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.18254009839077368
LUM,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1825207673344241
Serpina1b,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.1824818173308749
Efemp1,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.18190035015585992
Mif,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.18086910117178592
Fgb,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.17974437438109364
Dpp7,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.17926077810869712
CLEC11A,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.17797175754611372
HTRA3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.17786795438666606
S100A4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.17765771726370885
Trf,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.17676092754218806
Rpsa,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.17606520174166207
Kng1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.17128951235318923
Erap1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.17098606727427987
Rbmx,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.17092893503453932
AEBP1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.17050212887501673
Gsn,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.16998476482751387
