Tissue,Gene_Symbol,gradient,abs_gradient
Kidney_Tubulointerstitial,HCFC1,1.7516254107046025,1.7516254107046025
Heart_Decellularized_Tissue,Cx3cl1,1.7485031137978397,1.7485031137978397
Ovary,COL14A1,1.7350640896381602,1.7350640896381602
Skeletal_muscle_EDL,Ambp,1.7297804354765123,1.7297804354765123
Ovary_Cortex,THBS4,-1.704686476352588,1.704686476352588
Kidney_Glomerular,TIMP3,1.7030329966160997,1.7030329966160997
Heart_Decellularized_Tissue,Megf10,1.6851174556428385,1.6851174556428385
Skeletal_muscle_EDL,Angptl7,1.6773517550018018,1.6773517550018018
Skeletal_muscle_TA,Serpina3m,-1.6710078398583326,1.6710078398583326
Heart_Decellularized_Tissue,P4htm,-1.6645995439989658,1.6645995439989658
Kidney_Tubulointerstitial,COL6A3,1.6619601023478985,1.6619601023478985
Ovary,AGT,1.6488270242943714,1.6488270242943714
Ovary,SERPINB1,-1.6467656872929008,1.6467656872929008
Ovary,FN1,1.6384343522945857,1.6384343522945857
Kidney_Tubulointerstitial,VWA1,1.6374547811491786,1.6374547811491786
Ovary,COL3A1,1.6343642726819574,1.6343642726819574
Kidney_Tubulointerstitial,PXDN,1.6329146701945263,1.6329146701945263
Skeletal_muscle_TA,Fn1,-1.628682623320406,1.628682623320406
Kidney_Tubulointerstitial,COL1A2,-1.6273755304234514,1.6273755304234514
Kidney_Tubulointerstitial,SERPINA3N,1.6089584505638017,1.6089584505638017
Kidney_Glomerular,FMOD,1.5963936967702814,1.5963936967702814
Kidney_Tubulointerstitial,VWA5A,1.5941239511589482,1.5941239511589482
Heart_Decellularized_Tissue,Ctss,-1.5723542705424516,1.5723542705424516
Heart_Decellularized_Tissue,Sema6d,1.5708774152342067,1.5708774152342067
Kidney_Tubulointerstitial,FGG,-1.5696017738082022,1.5696017738082022
Ovary_Cortex,COL11A1,-1.5663367701308362,1.5663367701308362
Ovary,COL6A1,1.5653961284125277,1.5653961284125277
Heart_Decellularized_Tissue,Vwa5b2,-1.5471087521693598,1.5471087521693598
Kidney_Tubulointerstitial,COL6A6,-1.535372657678279,1.535372657678279
Ovary,SERPING1,-1.5340707467509296,1.5340707467509296
Kidney_Tubulointerstitial,SDC1,-1.5254916412915331,1.5254916412915331
Kidney_Tubulointerstitial,PLOD3,1.5219785599446285,1.5219785599446285
Ovary,SERPINA3,-1.5219022834287943,1.5219022834287943
Heart_Decellularized_Tissue,Agt,1.5043157449178852,1.5043157449178852
Heart_Decellularized_Tissue,Sdc4,1.4922142397112546,1.4922142397112546
Heart_Decellularized_Tissue,Anxa7,1.4911176710652683,1.4911176710652683
Kidney_Tubulointerstitial,PLG,1.4838674231867945,1.4838674231867945
Heart_Decellularized_Tissue,Ngly1,-1.4680758311722233,1.4680758311722233
Ovary,KNG1,1.4605329821482882,1.4605329821482882
Heart_Decellularized_Tissue,Matn2,-1.4578521210354982,1.4578521210354982
Skeletal_muscle_EDL,Emilin1,1.4556620045700484,1.4556620045700484
Skeletal_muscle_TA,Sema3c,1.448956896720209,1.448956896720209
Kidney_Tubulointerstitial,COL4A1,1.4452902308920477,1.4452902308920477
Kidney_Tubulointerstitial,HSPG2,-1.4375775613675672,1.4375775613675672
Kidney_Tubulointerstitial,TGFBI,-1.4331349752620375,1.4331349752620375
Heart_Decellularized_Tissue,Lamc1,-1.4198432499902298,1.4198432499902298
Kidney_Tubulointerstitial,LAMC1,1.4073971326163752,1.4073971326163752
Heart_Decellularized_Tissue,Cap2,-1.4061993757389046,1.4061993757389046
Ovary,SERPINC1,1.399061023878669,1.399061023878669
Heart_Decellularized_Tissue,Plxnb2,1.3946384894330544,1.3946384894330544
Ovary,SERPINA1,-1.38642460432914,1.38642460432914
Kidney_Glomerular,ELN,1.3665815733568651,1.3665815733568651
Skeletal_muscle_TA,Serpind1,1.348195992527404,1.348195992527404
Kidney_Glomerular,SERPINA6,1.3425910641331058,1.3425910641331058
Skeletal_muscle_EDL,Chad,1.3334826517278369,1.3334826517278369
Lung,PRELP,1.3248324048153102,1.3248324048153102
Lung,FGL1,1.314996795732763,1.314996795732763
Skeletal_muscle_EDL,Efemp1,-1.2906823905311946,1.2906823905311946
Heart_Decellularized_Tissue,Lgi1,1.286643564032048,1.286643564032048
Heart_Decellularized_Tissue,Ncan,-1.2841275860518861,1.2841275860518861
Kidney_Tubulointerstitial,PLXNB1,-1.2800377695243683,1.2800377695243683
Kidney_Tubulointerstitial,AEBP1,-1.259705703852494,1.259705703852494
Kidney_Tubulointerstitial,COL4A2,1.258553315544111,1.258553315544111
Lung,MFAP2,1.246217235769164,1.246217235769164
Heart_Decellularized_Tissue,Spock2,1.2421358972571532,1.2421358972571532
Heart_Decellularized_Tissue,Gpc6,-1.2408303063903598,1.2408303063903598
Heart_Decellularized_Tissue,Ovos,1.2216110917408944,1.2216110917408944
Skeletal_muscle_EDL,Serpina1e,-1.204517595227196,1.204517595227196
Heart_Decellularized_Tissue,Gpc5,1.1929278921840243,1.1929278921840243
Kidney_Tubulointerstitial,TGM2,-1.1882747542083183,1.1882747542083183
Kidney_Tubulointerstitial,ITIH2,1.1650615108236968,1.1650615108236968
Ovary,FLG,-1.1374758192775511,1.1374758192775511
Heart_Decellularized_Tissue,Plxna4,1.1194145360857097,1.1194145360857097
Kidney_Tubulointerstitial,SPARC,1.1126437938486604,1.1126437938486604
Heart_Decellularized_Tissue,Mmrn2,1.1123950892775094,1.1123950892775094
