Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
P12107,COL11A1,-7.985445563751853,7.225075824692628,3,-1.9143324960305337,0.1956777066328672,False,Decrease,0.6658687858288392,False
P12109,COL6A1,8.341960489077959,24.069751561516313,5,0.7749639904476281,0.4816231942846647,False,Increase,0.7631926428603472,False
P12110,COL6A2,1.6292380083589215,8.021528426859167,6,0.49751139404616834,0.6399321509523404,False,Increase,0.8329360340623612,False
P12111,COL6A3,-1.0927087153017254,11.111234585070319,6,-0.24088941417704945,0.8192068739722096,False,Decrease,0.91147249459024,False
P13611,VCAN,3.233202782565006,4.483108882889072,5,1.6126445722633844,0.18211696265053368,False,Increase,0.652419009055758,False
P13674,P4HA1,-7.287415440342442,17.22528236665994,3,-0.7327702112428435,0.5399429765855213,False,Decrease,0.7825239741155462,False
P14543,NID1,-1.7629080510952935,6.886281886188057,5,-0.5724398602150249,0.5976619941743442,False,Decrease,0.815220962765005,False
P17931,LGALS3,-1.1668972850312485,20.16405410115884,5,-0.1294016391247365,0.9032858520404727,False,Decrease,0.9468526937787591,False
P19823,ITIH2,13.37109662845178,50.89465464955586,3,0.45504619046655614,0.693699489381292,False,Increase,0.861362084706044,False
P19827,ITIH1,10.982203468163181,36.136425909679424,4,0.6078190187160436,0.5862319112529213,False,Increase,0.809794928256154,False
P20073,ANXA7,-9.671078954499325,16.848664055752952,4,-1.1479935646526407,0.3342129245569998,False,Decrease,0.6985141528709135,False
P20774,OGN,3.4417943145069443,4.5476230986439905,5,1.6923315509820145,0.16583891470798928,False,Increase,0.6503008986127164,False
P20908,COL5A1,-7.438207955104602,9.859834697316138,5,-1.6868780389311133,0.1669028297401527,False,Decrease,0.6503008986127164,False
P21810,BGN,9.467322633159734,17.911503959678647,5,1.1818983498160294,0.3027085707763604,False,Increase,0.6900908676440103,False
P21980,TGM2,-1.1645343151049792,6.294664907200113,4,-0.37000676994670006,0.7359553420775216,False,Decrease,0.8661423881489965,False
P22105,TNXB,-18.27836789567385,9.830158808846539,4,-3.7188347108338555,0.03383434992521672,True,Decrease,0.5514999037810325,False
P22792,CPN2,11.455797796944966,22.862143695435055,3,0.8678986577057601,0.4769462210034514,False,Increase,0.7631926428603472,False
P23142,FBLN1,7.552989745636773,2.7167205583551874,4,5.560372944804937,0.011475405544018713,True,Increase,0.5378219671191371,False
P24043,LAMA2,-5.0993237659915,2.533297918688397,4,-4.02583819958424,0.027540033526527452,True,Decrease,0.5378219671191371,False
P24821,TNC,-14.037846467645021,34.30934460751629,5,-0.9148988218353472,0.41200764261918477,False,Decrease,0.7287286388709009,False
P27658,COL8A1,9.761043767649923,43.34129634913465,3,0.39008117349057464,0.7341005876059743,False,Increase,0.8661423881489965,False
P29622,SERPINA4,17.998645531423826,28.625603512504405,4,1.2575207732169944,0.2975490175864348,False,Increase,0.6900908676440103,False
P30740,SERPINB1,4.880591684185395,15.182746712480643,5,0.7187984481943351,0.5120164021684723,False,Increase,0.7631926428603472,False
P31949,S100A11,0.879094347137678,12.670823717800847,4,0.13875883158293262,0.8984315908893554,False,Increase,0.9468526937787591,False
P35052,GPC1,-9.179738211626097,7.2804539878449575,3,-2.1838985603457206,0.1606232045782352,False,Decrease,0.6503008986127164,False
P35237,SERPINB6,-3.6221319200103643,21.63866712499623,4,-0.334783274689429,0.759829597676756,False,Decrease,0.8825819895779867,False
P35555,FBN1,0.5191459469429447,8.072631503195753,5,0.1438001508118355,0.8926119989384047,False,Increase,0.9468526937787591,False
P35625,TIMP3,47.140454911881434,29.41338728639336,4,3.20537410077136,0.04912954361614408,True,Increase,0.5594408843831523,False
P35858,IGFALS,22.321662787129046,24.234118394361975,3,1.5953645776411542,0.25168575450298714,False,Increase,0.6680661139880035,False
P36955,SERPINF1,12.131418763982358,27.44239544955877,5,0.9884952306602368,0.37886870771649583,False,Increase,0.7031023435188959,False
P39059,COL15A1,-10.942916221056592,8.135491331058308,3,-2.3297531896422092,0.14516700225406654,False,Decrease,0.6503008986127164,False
P39060,COL18A1,-2.939159540478961,23.228740866922138,5,-0.2829322763071845,0.7912668836488215,False,Decrease,0.8987909549460481,False
P48061,CXCL12,34.396368843445586,35.239697614581246,4,1.9521375705115749,0.1459685361290397,False,Increase,0.6503008986127164,False
P49257,LMAN1,-3.6777080121266312,16.1543133341403,4,-0.4553221094646238,0.6798107422434119,False,Decrease,0.8506813046227819,False
P49746,THBS3,15.810034204953375,30.77982124364784,3,0.889666716892723,0.4675142459337147,False,Increase,0.7617573679982538,False
P50454,SERPINH1,-13.716506383655982,26.857552617159666,4,-1.0214263808156754,0.38223705355066473,False,Decrease,0.7031023435188959,False
P50995,ANXA11,-7.282540873659332,14.459826764320596,5,-1.1261723053698078,0.32308484440678686,False,Decrease,0.6985141528709135,False
P51884,LUM,1.7509750377285846,4.389594159596669,5,0.8919501596079501,0.4228273278843895,False,Increase,0.7293212110598464,False
P51888,PRELP,5.041821362262302,5.219727476086518,5,2.159855154905837,0.09690482399028943,False,Increase,0.6105331041975713,False
P55001,MFAP2,2.4102448275590795,5.147302493365546,3,0.8110396669698776,0.5025125325083397,False,Increase,0.7631926428603472,False
P55083,MFAP4,1.9459063808583426,9.45548173995286,4,0.411593281944838,0.7082767340947591,False,Increase,0.861362084706044,False
P55268,LAMB2,0.13610056584963956,6.167946087030978,5,0.04934059291728891,0.9630133119792177,False,Increase,0.9689578385963733,False
P60903,S100A10,2.455992329321189,18.58361627472354,4,0.2643180200251661,0.8086531934060841,False,Increase,0.9090377277599428,False
P78539,SRPX,9.54851531490752,44.61831017746598,3,0.37066651777014115,0.746463144951357,False,Increase,0.8753488678206561,False
P98095,FBLN2,-2.474839965551881,14.15557061828269,3,-0.3028170800406701,0.7906220912871904,False,Decrease,0.8987909549460481,False
P98160,HSPG2,-0.7681734579499503,3.7071375823303563,6,-0.507570319185151,0.6333447479100816,False,Decrease,0.8291983446533597,False
Q02388,COL7A1,-5.124978448107835,13.660631557999144,3,-0.6498032702317044,0.5824841931002749,False,Decrease,0.809794928256154,False
Q05707,COL14A1,-5.682542778283349,13.957821708962458,5,-0.910353506602902,0.4141321528980826,False,Decrease,0.7287286388709009,False
Q06033,ITIH3,22.121605974120673,11.954276924015911,3,3.205191391812299,0.08509891112331491,False,Increase,0.6088329127612317,False
Q06828,FMOD,-11.37642537350984,10.09582534450939,4,-2.253689022006884,0.10956340819693966,False,Decrease,0.6191295434007577,False
Q07092,COL16A1,-4.445881119930026,6.466709712162404,3,-1.190789802988552,0.35590440960672254,False,Decrease,0.7015768590179302,False
Q07507,DPT,1.186137777533395,6.309509064396726,5,0.42036308596678246,0.695819956558839,False,Increase,0.861362084706044,False
Q08431,MFGE8,3.410261918641596,14.016478118849308,4,0.48660753289451336,0.6598708935987481,False,Increase,0.8441319968510164,False
Q12805,EFEMP1,6.3846364338526955,5.064060586809927,5,2.8191765941548197,0.0478681576973492,True,Increase,0.5594408843831523,False
Q14112,NID2,-13.57233478121978,15.55976557831554,4,-1.7445423214003313,0.17941094639312438,False,Decrease,0.652419009055758,False
Q14624,ITIH4,21.907555878590898,36.33418971762832,4,1.2058920839487979,0.3142910007069981,False,Increase,0.6985141528709135,False
Q14766,LTBP1,14.863359083777775,4.5319636495709235,3,5.680560369605104,0.029619756501385375,True,Increase,0.5378219671191371,False
Q15582,TGFBI,4.253452442801397,7.593177017459661,5,1.2525730375173605,0.27859464770519105,False,Increase,0.6777750384469573,False
Q16270,IGFBP7,2.048335248896825,16.504227081697042,3,0.21496436667173752,0.8497233835237739,False,Increase,0.9260633555706782,False
Q16363,LAMA4,-2.908284510711608,10.131641179058834,4,-0.5740993900815918,0.6061191696720636,False,Decrease,0.8165076417896393,False
Q16610,ECM1,8.908981875640976,16.61291255515589,4,1.0725370215562875,0.3620824071080029,False,Increase,0.7015768590179302,False
Q2UY09,COL28A1,-5.5214726941305905,12.06192922887021,3,-0.7928641477972064,0.5109719659466168,False,Decrease,0.7631926428603472,False
Q32P28,LEPRE1,-18.36173682468491,27.16065447923961,3,-1.1709386870582164,0.3622528827820326,False,Decrease,0.7015768590179302,False
