Protein_A,Protein_B,Raw_Correlation,Latent_Similarity,Difference
CLEC1A,HTRA3,0.06912114454100153,0.7036157,0.6344945804994343
BMPER,Serpina10,0.10447554204945424,0.7387104,0.6342348613929286
NTN1,ZP3,0.08314257505100835,0.7173584,0.6342158353074207
CPAMD8,PDGFC,0.11661480478485972,0.7506367,0.634021892030631
CRISPLD1,SDC2,0.15587809937395655,0.7898647,0.6339866195400754
COL9A3,INHBA,0.1569638181401659,0.7909158,0.6339519690798353
Lgals9,Mbl2,0.22672127315790686,0.86061853,0.6338972585460421
NTN1,PRSS1,0.08314257505100833,0.7169987,0.6338561212762012
Nrg3,Ogfod1,0.19175887919608142,0.8255302,0.6337712921982668
Clec1a,HTRA3,0.06912114454100157,0.7028425,0.633721329442763
Cspg5,Fgf2,0.06739791282406152,0.70107615,0.6336782371164292
REG3A,Tgm1,0.09060092609833577,0.724041,0.6334400590090861
GDF6,LTBP2,0.10426067787956535,0.73749596,0.6332352809255188
S100G,Serpina10,0.07206368111539962,0.7052315,0.6331678066356075
Ctsc,Fgfbp1,0.10511054991312307,0.7382608,0.633150255693719
ANGPTL3,Ccl21c,0.09082483201391754,0.72396266,0.6331378325902695
ADAMTSL1,BMP6,0.08464345361800063,0.7177592,0.633115738371898
LGALS9,NDNF,0.11641917394147482,0.74921155,0.6327923758174363
S100A14,Serpina10,0.07206368111539962,0.7048003,0.6327366266353023
CTSA,Serpina10,0.11527656612747603,0.74719054,0.6319139689410359
Cd209d,Mmp17,0.2399225400896496,0.8718076,0.6318850351361804
CCL16,S100A7,0.1294391557032978,0.7611204,0.6316812232678021
CCL14,Efemp2,0.09991640099217791,0.7313786,0.6314622139103184
FLG,SERPINH1,0.11590648287707632,0.7470186,0.6311120927912587
Creld2,Gpc4,0.15210543604070303,0.78303623,0.6309307959539259
ADAMTS2,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
PCSK5,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
LEP,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
MATN1,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
IBSP,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
SERPINB6B,SULF1,0.07455227039435194,0.7053949,0.6308426532926292
REG4,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
PODNL1,SERPINB6B,0.07455227039435194,0.7053949,0.6308426532926292
SERPINB6B,WFIKKN2,0.07455227039435194,0.70539486,0.6308425936879845
Col25a1,Lgi1,0.17126003338331086,0.8019912,0.6307311909056296
