,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
CHRD,-0.13672568,-0.08016807,-0.10993229,-0.062992685,-0.15626277,0.08108229,0.022567956,-0.29752952,0.27525598,0.30881315
CHRDL1,-0.053588554,-0.24220702,-0.052861538,0.18694675,0.19827875,-0.0589462,-0.2419263,0.2131417,0.19179784,-0.13914974
CHRDL2,-0.19358456,-0.27718064,-0.06874916,0.21018867,-0.2873575,0.3614655,-0.30981675,-0.79018515,0.26267037,0.8820845
CILP,2.9838865,-2.563275,-3.205776,-4.35639,-4.993785,2.5705078,1.8201288,0.72451335,-0.5828624,3.9678028
CILP2,-0.5899068,-0.7054105,-0.9030623,-4.6059947,-3.1969786,0.53618884,1.1631825,-0.14337155,-2.1121838,2.5217483
CLC,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
CLEC10A,0.14559941,-0.0994883,0.20810243,0.30456954,-0.2505954,0.07083975,0.03897755,0.20112298,-0.26054767,0.015214085
CLEC11A,-0.082955234,-0.9011656,0.7149895,-0.39647037,0.9692018,0.014904162,-0.76395464,-0.2621778,-2.4183927,1.2762659
CLEC14A,-0.09023277,0.7800025,-0.49479425,-0.8007408,1.4180994,0.11167148,-0.008860876,0.1715082,0.70257074,-1.2355899
CLEC18B,0.54848886,-0.10483235,-0.3531734,-0.30627123,0.26937398,-0.15569004,-0.19025292,-0.33433607,-0.15272892,0.24416223
CLEC1A,-0.026952658,-0.22479433,-0.07625177,-0.019658184,0.115292236,-0.086893365,-0.01634778,0.16743234,0.15969525,-0.14909002
CLEC3A,-0.34734282,-0.20595445,-0.12211434,0.43169525,-0.4771516,0.49459568,-0.5030383,-0.9391201,0.51180077,1.0279555
CLEC3B,-0.29719615,0.20542924,0.28607717,-0.1651717,0.3271297,0.122146435,0.34052908,-0.08965414,0.31398383,0.5236692
CLEC5A,0.49115524,-0.24036086,-0.13113302,-0.30179092,0.1839937,-0.16667467,-0.0057294783,-0.29510492,-0.11092526,0.041681375
CLGN,-0.043578997,0.059676237,-0.033160727,-0.19866037,0.09773006,-0.08255626,0.149905,0.04168089,0.12884194,-0.2190083
COCH,0.27672336,-0.3701339,-0.31853476,-0.21460232,-0.024289485,0.07614947,0.13442908,0.18071929,0.2791795,0.0028906174
COL10A1,1.2818661,0.6732321,-3.7219157,-0.9192749,2.2111387,-0.031267725,-1.6566039,0.6719985,1.0288401,0.6555487
COL11A1,-0.7804927,-1.2404853,-0.5226747,-0.6969978,1.7210045,0.18970186,-1.1003019,-1.1186543,-1.7078923,2.1047099
COL11A2,-1.1583571,0.19039991,-0.775799,0.7378304,-0.37933373,0.45078722,-1.0014441,-0.8685045,0.41721243,1.4092516
COL12A1,0.3103886,-0.1346951,1.8693656,0.057195,0.27715588,0.6423108,0.66572976,-0.09167872,0.95042217,0.7729255
COL14A1,0.7507759,-0.00068556255,1.2974749,-0.6871543,-0.17773731,0.46255454,0.9742766,-0.655796,1.1102191,1.2399857
COL15A1,1.5846543,0.8469774,-0.13960135,-0.044332486,-0.4909562,0.48191407,-0.28744608,-1.4701934,0.4959998,0.44465306
COL16A1,-0.17094128,1.1078779,-0.5575667,-0.22008595,0.37594283,0.083938666,0.0940885,-0.2308745,0.33700883,0.85378927
COL17A1,0.27672336,-0.3701339,-0.31853476,-0.21460232,-0.024289485,0.07614947,0.13442908,0.18071929,0.2791795,0.0028906174
COL18A1,1.1013095,-1.4207144,0.2241769,0.23407438,-0.6181872,0.26500297,-1.3300879,-0.56558573,0.6057796,-0.6676559
COL1A1,0.70598674,2.48701,0.62323433,-0.0659246,0.7857739,0.6414264,1.0677367,-0.35451645,0.37501892,1.0893317
COL1A2,0.28786397,2.057986,0.06032114,0.078858785,0.28033027,0.3934749,0.49231935,-0.3478544,0.2795882,1.1916238
COL21A1,0.06833926,1.2157892,-0.9255745,-0.08685032,0.33102816,0.5257542,-0.16562736,-0.29662186,-0.0480487,-0.22891045
COL22A1,0.095777035,0.14524092,-0.7885408,-0.21788624,0.5724378,-0.19467302,-0.5162552,0.033819385,-0.085121505,0.32789233
COL27A1,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
COL28A1,0.37072068,0.15782957,-0.6058545,-0.1288796,0.11566689,0.23411457,0.088198386,-0.08506004,-0.03786918,-0.23288256
COL2A1,2.2542286,-2.4867325,-4.9612975,-0.051114894,-3.6954925,1.1878353,-5.319544,-1.6583692,-0.37643182,2.6149926
COL3A1,-0.03682861,1.9382168,0.2905233,-0.38409632,0.7159246,0.43522793,0.94629127,-0.5724997,0.5720735,1.65529
COL4A1,-0.1285448,1.2077491,-1.0360328,-0.23251612,0.97210795,-0.035351187,-0.5302471,0.051458694,0.2485416,0.9689587
COL4A2,-0.4258481,1.8003564,-0.7286396,-0.2598697,1.0637329,0.15899101,-0.0332013,0.09362363,0.3861678,1.3459018
COL4A3,-1.8466713,1.4216961,-3.4919236,0.6466747,1.2356277,0.30471423,-3.1416047,1.077052,-1.2974879,2.024519
COL4A4,-0.33034864,0.1741749,-0.83481216,0.37541538,0.391643,-0.0198158,-0.7243492,0.3679847,-0.123528205,0.44312805
COL4A5,-0.08974172,-0.4971337,-0.043298617,0.003583814,0.71617836,0.11543184,-0.871919,0.08181342,-1.4535661,0.8148121
COL4A6,-0.2030674,0.9738776,-2.1898067,0.26673588,0.83854914,0.108436294,-1.8494396,0.48829767,-0.32325566,1.3298783
COL5A1,-0.21993198,1.5085063,-0.2779392,0.039336234,0.012219661,0.33610645,0.2622649,-0.37940857,0.33643728,1.3821975
COL5A2,-1.0257437,0.75766325,1.2784165,0.07738094,0.30941728,0.69775546,0.49744272,-0.13757259,0.9146958,1.4873369
COL5A3,-0.6373876,0.29907557,-0.6703316,-0.6460295,1.5101736,-0.30012628,-0.17162834,0.3919909,1.0732745,-0.89765424
COL6A1,0.41604033,0.9647563,1.0778067,-0.064707175,0.48897618,0.4943944,0.95510477,-0.2289324,0.6551625,1.2889388
COL6A2,0.83053,0.33297417,0.7725108,0.11333928,-0.24501808,0.52795076,0.3474971,-0.5365242,0.5793155,0.86489785
COL6A3,0.77828103,-0.48417,0.8224161,-0.57920724,0.43325502,0.4834437,0.8206784,-0.83603173,1.3201755,0.94306403
COL6A4,-0.29941884,-0.4242094,-0.39550704,-2.0894792,-1.3380774,0.18840654,0.6668763,0.0013839538,-0.95845354,1.0408535
COL6A5,0.34301385,-0.24646619,-0.1252536,0.016562194,-0.367421,0.21993609,0.11292155,0.16113319,-0.06656423,-0.018864252
COL6A6,-0.71292377,-1.4157104,-1.8475423,-1.2386525,-0.44473743,0.08766355,-1.0445191,1.320403,-0.9504914,0.84655565
COL7A1,0.21759456,-0.22710471,-0.4984278,-0.03121514,0.2798102,0.023689903,-0.1017927,0.1198306,0.45817545,0.18340759
COL8A1,0.030554812,-1.5732543,-1.8213831,0.45101035,-0.7685999,0.7064809,-1.1189287,0.527903,0.58084214,2.4764535
COL8A2,-0.384991,0.7895676,-0.39199576,0.7070844,-0.71376926,0.33725858,-0.7654507,-0.3147273,0.9158998,0.5460649
COL9A1,-0.31407622,-0.066163324,-0.16614442,0.27479768,-0.41326267,0.42849627,-0.34276292,-0.805469,0.5631172,0.90460956
COL9A2,0.33752507,-0.59046316,0.3948397,-0.20326829,-0.29606414,0.1997065,0.047374632,-0.45186555,0.60585046,0.04138347
COL9A3,-0.06645635,-0.12847026,-0.085846275,-0.20602244,-0.030106926,-0.12533097,0.12867817,0.0020412626,0.16903377,-0.015890751
COLEC12,0.04551809,-0.06318289,0.14174496,0.14600056,-0.14835322,0.0013619441,0.057482045,0.1569213,-0.11738083,-0.053827986
COLQ,-0.058585748,-0.24403296,-0.003272903,0.348654,0.2512472,-0.028926658,-0.40560427,0.24905755,0.21752661,-0.11343933
COMP,-0.14801197,-0.100980766,-0.059693586,-0.11589066,-0.14569736,-0.001603895,0.027058171,-0.10600497,0.29080054,0.10274389
CPAMD8,-0.11214331,-0.19713013,-0.053893626,-0.19084176,0.014373761,-0.100973755,0.058363203,-0.059607208,0.22524934,0.1505308
CPN2,2.5428092,-3.909487,-1.0155954,0.85402215,0.39873323,0.28617084,0.621883,0.6904514,-3.2347279,0.6609655
CRELD1,-0.027387915,-0.17529061,-0.06151743,0.031423874,0.12816031,-0.07295766,-0.06707981,0.17379336,0.16662735,-0.17742574
