early_protein,late_protein,lag,f_stat,p_value,df_denom,df_num
Fbn2,SDC2,2,0.3309311417235112,0.7258295700404571,10.0,2.0
Fbn2,SDC2,3,0.386427800902311,0.7664334880367669,7.0,3.0
Fbn2,COL28A1,1,0.008018983798467442,0.9300107266308582,13.0,1.0
Fbn2,COL28A1,2,0.8979421398819434,0.43787231081464195,10.0,2.0
Fbn2,COL28A1,3,0.6026494876621968,0.6337071961036175,7.0,3.0
Fbn2,PLXNB2,1,0.1099173655488774,0.7455221357310032,13.0,1.0
Fbn2,PLXNB2,2,1.6340452208063796,0.24319681554616543,10.0,2.0
Fbn2,PLXNB2,3,0.7960551575932603,0.5339491612685718,7.0,3.0
Fbn2,SERPIND1,1,0.1021620294134429,0.7543288599175284,13.0,1.0
Fbn2,SERPIND1,2,0.6256138582691516,0.5546262584332219,10.0,2.0
Fbn2,SERPIND1,3,1.7188754160747828,0.24963030356592206,7.0,3.0
Fbn2,WISP2,1,0.20314821723090157,0.659617294429558,13.0,1.0
Fbn2,WISP2,2,0.6856975626650099,0.5259340008510284,10.0,2.0
Fbn2,WISP2,3,0.5592840110372157,0.6585700929299132,7.0,3.0
Fbn2,CTSG,1,0.19742497018761762,0.6641142206946916,13.0,1.0
Fbn2,CTSG,2,0.7775073262412144,0.4854533443674717,10.0,2.0
Fbn2,CTSG,3,1.5305572117170634,0.28876416108441394,7.0,3.0
Cilp2,FBN3,1,0.028391411536332265,0.8687852238032351,13.0,1.0
Cilp2,FBN3,2,0.01181293013642223,0.9882703376634012,10.0,2.0
Cilp2,FBN3,3,0.05623504459611647,0.9810712460719876,7.0,3.0
Cilp2,NPNT,1,0.031658591652165204,0.8615216708142639,13.0,1.0
Cilp2,NPNT,2,0.06628991216862702,0.9362672472195304,10.0,2.0
Cilp2,NPNT,3,0.18907084891244041,0.9005520271771958,7.0,3.0
Cilp2,DSP,1,0.10685485711498614,0.7489571419005513,13.0,1.0
Cilp2,DSP,2,0.04039268603532882,0.9605680963157472,10.0,2.0
Cilp2,DSP,3,1.3010253860527494,0.34720532242333335,7.0,3.0
Cilp2,ADAM15,1,0.051817994444476316,0.8234705101622932,13.0,1.0
Cilp2,ADAM15,2,0.021735585045054052,0.9785450259266769,10.0,2.0
Cilp2,ADAM15,3,0.21054160418279688,0.8860051634636725,7.0,3.0
Cilp2,SDC2,1,0.04242404241530929,0.8400041405709338,13.0,1.0
Cilp2,SDC2,2,0.05878432809751229,0.9432334621020764,10.0,2.0
Cilp2,SDC2,3,0.014780327313400073,0.9973125513791717,7.0,3.0
Cilp2,COL28A1,1,0.0008225673723575324,0.9775550806777228,13.0,1.0
Cilp2,COL28A1,2,0.2504204187217399,0.7832125188997476,10.0,2.0
Cilp2,COL28A1,3,0.3251471356965136,0.8075170384819356,7.0,3.0
Cilp2,PLXNB2,1,0.04267469869281526,0.8395393418009931,13.0,1.0
Cilp2,PLXNB2,2,0.13794159152145133,0.8727788376679791,10.0,2.0
Cilp2,PLXNB2,3,0.10902608662748592,0.9521126310730399,7.0,3.0
Cilp2,SERPIND1,1,0.0003181842190919621,0.9860391796075384,13.0,1.0
Cilp2,SERPIND1,2,0.0377782698067802,0.9630631770865731,10.0,2.0
Cilp2,SERPIND1,3,1.0983928063431385,0.41107442424483964,7.0,3.0
Cilp2,WISP2,1,0.0013745479769789973,0.9709885628852236,13.0,1.0
Cilp2,WISP2,2,0.011476224885957946,0.9886023760820851,10.0,2.0
Cilp2,WISP2,3,0.040109847517924846,0.9883652199041306,7.0,3.0
Cilp2,CTSG,1,0.008223909783078938,0.9291246794781728,13.0,1.0
Cilp2,CTSG,2,0.04152107905968731,0.9594936058646095,10.0,2.0
Cilp2,CTSG,3,0.0782234456849002,0.969781002501871,7.0,3.0
Fbn1,FBN3,1,0.04421552064962826,0.8367130088800445,13.0,1.0
Fbn1,FBN3,2,0.059194166140305586,0.9428514740651005,10.0,2.0
Fbn1,FBN3,3,0.10057496469739517,0.9571333858400124,7.0,3.0
Fbn1,NPNT,1,0.015092565861858205,0.9041034074388385,13.0,1.0
