Protein,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
MFAP1,0.1243124312431243,0.00019344812601671335,0.012142436830507046,0.7996202393238727,0.0011443844614877083,0.017919099752544528,4.800833011445334e+59
MFAP5,0.11551155115511551,0.0006954439937385809,0.010947020642335457,0.7858003462126474,0.0010206616032651008,0.01663429085036472,4.172253383436301e+59
MMP19,0.1771177117711771,0.0015463734332317224,0.022729225890114793,0.8213966775196734,0.001451094783495807,0.026367056418917737,1.637586879981941e+60
MMP8,0.1276127612761276,3.819963396291043e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.242378884632637e+59
MMP9,0.121012101210121,0.0011455440698254847,0.010058869788613431,0.7963829172926303,0.0010298989835223014,0.016033611707927605,3.9837427562274073e+59
MMRN1,0.1771177117711771,0.0015609123320555255,0.022729225890114793,0.8213966775196734,0.001451094783495807,0.026367056418917737,1.637586879981941e+60
NDNF,0.099009900990099,0.00045676373804781357,0.013751882750176064,0.7865760640197057,0.0009185698203890521,0.018216572820293972,4.938339615364712e+59
NID2;NID-2,0.1276127612761276,3.747268902172027e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.242378884632637e+59
NTN1,0.2365236523652365,0.0033283981848992537,0.0813042790643538,0.8571243768729058,0.00186400094412856,0.06578315644283289,1.0844623261702312e+61
NTN4,0.1243124312431243,0.00034772199686929046,0.012111608059754605,0.8017142305868725,0.0011433526239075723,0.017894303330587287,4.800833011445338e+59
PCOLCE2,0.2431243124312431,0.0002689696282403571,0.08233546114937162,0.8565815575895132,0.0019066812020029089,0.06691540232888625,1.1348195720018934e+61
PF4,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
PLAT,0.1276127612761276,8.598143221076882e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189082859e+60
PLAU,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
PLXNA1,0.13641364136413642,0.004197653405803033,0.009885880954654843,0.8347578212171738,0.0011833731878716405,0.01726739621468763,3.2891629627701805e+59
PLXNB1,0.1408140814081408,0.006484702962447387,0.010460193363518736,0.859797947157204,0.001231732007283551,0.017894461362381556,3.7904587088464447e+59
PLXNB2;MKIAA0315,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
PODN,0.15841584158415842,0.00047170649517227765,0.022741309687423106,0.7762100910833845,0.0012837904509244982,0.025758749769518575,1.4896693223355033e+60
S100A1;S100A1,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
S100G,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SDC4,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SEMA3A,0.2354235423542354,0.000724521791386187,0.08061172279262152,0.8553399666605048,0.0018574798482207907,0.0653101804978034,1.0602966076442407e+61
SEMA3C,0.12871287128712872,0.004872954255778001,0.01316442715523815,0.7708211026759075,0.0010741216535030257,0.018189694145724335,6.22942324618777e+59
SEMA3E,0.121012101210121,0.000537939256480714,0.012910972487777566,0.7601634034223559,0.0010882564177862712,0.0180115151911378,5.1442745141962905e+59
SEMA3F,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SEMA7A,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA1A,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA1B,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA1C,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA1D,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA1E,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA3M,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.24237888463263e+59
SERPINA3N,0.1034103410341034,0.00028278158212297,0.009068423847594832,0.7269237196787738,0.0010521173493183778,0.015574777196098469,2.1549476006092977e+59
SERPINB1A,0.099009900990099,6.623276130843628e-05,0.009117575330370246,0.7729252027164822,0.001042135325643297,0.015399287497668782,2.1021613843628397e+59
SERPINB6;SERPINB6A,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SERPINB6B,0.0968096809680968,0.00013226359346654195,0.007457316666482687,0.7708349950367208,0.0009877820453091408,0.013903683525358935,1.6753441592509454e+59
SERPINB9B,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SFTPA1,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
