Protein,Consensus,Consensus_Rank,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
CYR61,1.5654724074976716,64,0.2134213421342134,0.0006772703702088,0.078336196051085,0.868457269904134,0.0017499175435669,0.0633784746843918,9.567831553173668e+60
SERPINA10,1.5493404916822933,65,0.2167216721672167,0.0026581953349519,0.069468957075392,0.8868508985929312,0.0017201178744857,0.0570925199731864,9.167115189153791e+60
IGFBP3,1.5295269358445283,66,0.2123212321232123,0.0002071793082391,0.0779237784957812,0.8662466573032458,0.0017395370595185,0.0630660391732567,9.473528942588115e+60
CCL16,1.5091236647798634,67,0.2156215621562156,0.0016113946196381,0.0710287314629979,0.860086008146432,0.0017795823444099,0.057355727701431,9.514476291034427e+60
LOXL2,1.4806165957060897,68,0.2013201320132013,0.0076368870367212,0.0666803943775042,0.8403009664798989,0.0016191669084172,0.054022060916991,8.210383631094013e+60
SLIT3,1.4472289366987479,69,0.209020902090209,0.0038862779449751,0.0695562879860919,0.844978132675565,0.0016827242581757,0.0560654731621737,8.50387479670555e+60
FCN2,1.4470293477115153,70,0.1793179317931793,0.0113033880480559,0.0548533549606847,0.943192965848604,0.0014222251410924,0.045728775643276,6.199866307776454e+60
VIT,1.4168219631490615,71,0.1914191419141914,0.0004894762604013,0.0812159594735051,0.8276446882187762,0.0016431132034526,0.0635374412770633,9.89435432521748e+60
TGFB1,1.4098150908709717,72,0.2057205720572057,0.0064770794260042,0.0641607222859731,0.8312360270871174,0.0016520663555345,0.0524021456909001,7.939607113558994e+60
CILP2,1.3755100519012058,73,0.2134213421342134,0.0021947679349432,0.0665570370103414,0.8540001755486609,0.0016404830314514,0.0551038641790178,8.506238272120961e+60
Lamb2,1.3414831081029972,74,0.1661166116611661,0.02598949322245,0.0194019653955262,0.9340027042332728,0.00130577860884,0.0361720447662626,2.6588252103726464e+59
BMP6,1.3361675082929096,75,0.2233223322332233,0.0015542262335223,0.0630141304601568,0.8343863835520156,0.0017076174052423,0.0536421031843231,8.468853851665776e+60
P4HA1,1.3276945547605778,76,0.1705170517051705,0.0053636420910813,0.065039609177454,0.9159926449855196,0.0013932117199944,0.0520469449174808,7.77557649224438e+60
SPARC,1.324603610772036,77,0.1485148514851485,0.0190047639125146,0.0425928761181533,0.940945040380892,0.0012001016964563,0.0368830451564134,4.205383741326443e+60
CRLF1,1.313619532333817,78,0.1903190319031903,0.0007863121113873,0.0743811931640856,0.8386165163473107,0.0015607917131355,0.0587366402310809,9.337556871042017e+60
EMILIN3,1.28731771471481,79,0.1947194719471947,0.0036928803012459,0.0613929261471004,0.8838339083892166,0.0015382268783399,0.0509640591640001,7.430718846555513e+60
LEPRE1,1.277757936004418,80,0.1859185918591859,0.0003475200677189,0.0766542135604968,0.8186755931545503,0.0015825685532019,0.0603005558048717,9.188187456430007e+60
MMP2,1.2728608718737464,81,0.2024202420242024,0.0023893064783717,0.0680220404329955,0.8191775848516631,0.0016212544548264,0.0553828671183661,8.008880568277995e+60
PRG4,1.263333246125588,82,0.1958195819581958,0.0003802325900725,0.0734910748171249,0.817826930107744,0.0016678106998121,0.0585843711335381,8.174216908847999e+60
CCL18,1.2582722479115576,83,0.1848184818481848,0.0002802776606588,0.0760643419311064,0.8199633912587126,0.0015769225004607,0.0598911315059059,8.996577967186725e+60
HAPLN3,1.2576076794365285,84,0.1958195819581958,0.0002255548609192,0.0733682239121086,0.8187506378151997,0.0016643035198166,0.0584998741427601,8.191299580639485e+60
ANGPTL5,1.2572691535165232,85,0.1958195819581958,0.0002158622617034,0.0733682239121086,0.8187506378151997,0.0016643035198166,0.0584998741427601,8.19129958063948e+60
FBLN7,1.2572691535165232,86,0.1958195819581958,0.0002158622617034,0.0733682239121086,0.8187506378151997,0.0016643035198166,0.0584998741427601,8.19129958063948e+60
