Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hapln4,S100a11,0.7466971892794804,0.0005740355936455131,0.7466971892794804
Hapln4,S100a4,0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,S100a5,0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,S100a6,0.7525766947068778,0.0004904358117415917,0.7525766947068778
Hapln4,S100b,0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sdc2,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Sdc3,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sema4a,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sema4b,-0.7894736842105262,0.0001641263531216029,0.7894736842105262
Hapln4,Sema4d,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sema4f,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sema5b,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hapln4,Sema6d,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Sema7a,-0.7763157894736842,0.00024813773147439494,0.7763157894736842
Hapln4,Serpina1c,0.8421052631578946,2.2332566489265974e-05,0.8421052631578946
Hapln4,Serpina1d,0.5685735326841775,0.017239681583403017,0.5685735326841775
Hapln4,Serpina1e,-0.6221903050752612,0.00765203458277991,0.6221903050752612
Hapln4,Serpina3k,-0.7466971892794804,0.0005740355936455131,0.7466971892794804
Hapln4,Serpina3n,0.6937816404329029,0.002007564885120447,0.6937816404329029
Hapln4,Serpinb1a,0.5685735326841775,0.017239681583403017,0.5685735326841775
Hapln4,Serpinb9b,0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Serpini1,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Shh,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hapln4,Slit1,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Slit2,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Slit3,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hapln4,Spock1,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Spock2,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Spon1,-0.7236842105263157,0.001023582265275118,0.7236842105263157
Hapln4,Tgm2,0.6064784348631227,0.009849073731987242,0.6064784348631227
Hapln4,Thbs4,0.5046110348248182,0.03885178268922372,0.5046110348248182
Hapln4,Timp2,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Tinagl1,0.5685735326841775,0.017239681583403017,0.5685735326841775
