Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
Hpx,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7906462300414586,Upregulated,Signaling,Other
Lgals1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.747473139290811,Upregulated,Signaling,Other
Bgn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7377253462532289,Upregulated,Structural,Other
Serpinc1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.733232040889085,Upregulated,Regulatory,Coagulation
Serpina1a,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7313536212651687,Upregulated,Regulatory,Coagulation
Serpinf2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7243917087665737,Upregulated,Regulatory,Coagulation
Serpina1b,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7149475614556118,Upregulated,Regulatory,Coagulation
Igfbp5,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.7008439875641898,Upregulated,Structural,Other
Col4a2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.697207832974836,Upregulated,Structural,Other
SERPING1,3,"Lung, Ovary_Cortex, Skin dermis",0.6182367760183832,Upregulated,Regulatory,Coagulation
Serpina3m,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.6055817849055828,Upregulated,Regulatory,Coagulation
Itih4,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.5576617907049161,Upregulated,Regulatory,Other
S100A6,3,"Lung, Ovary_Cortex, Skin dermis",0.555994301421723,Upregulated,Signaling,Inflammation
Kng1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.4865858110235896,Upregulated,Regulatory,Other
Prelp,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.4571545039232315,Upregulated,Structural,Other
Lamb2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.43675437323074884,Upregulated,Structural,Other
SERPINF2,3,"Lung, Ovary_Cortex, Skin dermis",0.3434235205620008,Upregulated,Regulatory,Coagulation
ANXA5,3,"Lung, Ovary_Cortex, Skin dermis",0.3395529724319293,Upregulated,Signaling,Other
Vtn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.33666952131631894,Upregulated,Structural,Other
LGALS3,3,"Lung, Ovary_Cortex, Skin dermis",0.3339276182575925,Upregulated,Signaling,Other
Gpc1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.3276814328632586,Upregulated,Signaling,Other
ANXA4,3,"Lung, Ovary_Cortex, Skin dermis",0.3233813652847945,Upregulated,Signaling,Other
NID1,3,"Lung, Ovary_Cortex, Skin dermis",0.3054262060282594,Upregulated,Structural,Other
COL18A1,3,"Lung, Ovary_Cortex, Skin dermis",0.3034466806574354,Upregulated,Structural,Other
Dpt,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.2905084033496316,Upregulated,Structural,Other
ANXA6,3,"Lung, Ovary_Cortex, Skin dermis",0.278444669016932,Upregulated,Signaling,Other
A2M,3,"Lung, Ovary_Cortex, Skin dermis",0.2631799651563784,Upregulated,Regulatory,Other
TGFBI,3,"Lung, Ovary_Cortex, Skin dermis",0.24463042871883844,Upregulated,Structural,Other
CTSD,3,"Lung, Ovary_Cortex, Skin dermis",0.2272649916272004,Upregulated,Regulatory,Other
Lum,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.2213404888246869,Upregulated,Structural,Other
LAMA5,3,"Lung, Ovary_Cortex, Skin dermis",0.21140486127258784,Upregulated,Structural,Other
Lama5,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.20806963451932506,Upregulated,Structural,Other
HRG,3,"Lung, Ovary_Cortex, Skin dermis",0.2007999425207775,Upregulated,Regulatory,Other
HPX,3,"Lung, Ovary_Cortex, Skin dermis",0.16013526123808994,Upregulated,Signaling,Other
S100A10,3,"Lung, Ovary_Cortex, Skin dermis",0.14809786324824534,Upregulated,Signaling,Inflammation
Serpind1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.14450932357060678,Upregulated,Regulatory,Coagulation
Plg,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.1184229499209785,Upregulated,Regulatory,Coagulation
ITIH4,3,"Lung, Ovary_Cortex, Skin dermis",0.1091757252547143,Upregulated,Regulatory,Other
Pzp,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.09905775354734019,Upregulated,Regulatory,Other
AMBP,3,"Lung, Ovary_Cortex, Skin dermis",0.07934195820642041,Upregulated,Regulatory,Other
LGALS1,3,"Lung, Ovary_Cortex, Skin dermis",0.07718061124643504,Upregulated,Signaling,Other
FGG,3,"Lung, Ovary_Cortex, Skin dermis",0.059508022238033385,Upregulated,Structural,Coagulation
ITIH1,3,"Lung, Ovary_Cortex, Skin dermis",0.05672593582400248,Upregulated,Regulatory,Other
S100A13,3,"Lung, Ovary_Cortex, Skin dermis",0.05168023472112123,Upregulated,Signaling,Inflammation
LMAN1,3,"Lung, Ovary_Cortex, Skin dermis",0.03349357305852343,Upregulated,Signaling,Other
EFEMP1,3,"Lung, Ovary_Cortex, Skin dermis",0.015794381056089157,Upregulated,Structural,Other
Serpinb1a,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.009681064155085961,Upregulated,Regulatory,Coagulation
Fbln1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.009160638375323929,Upregulated,Structural,Other
PRELP,3,"Lung, Ovary_Cortex, Skin dermis",0.0038229369261318555,Upregulated,Structural,Other
Col12a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.0014064316077693206,Downregulated,Structural,Other
