Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
P54869,HMCS2_MOUSE,Hmgcs2,Ovary,Mus musculus,Young,categorical,11894789.0,LFQ,DIA,Dipali_2023,Young_pooled
P01863,GCAA_MOUSE;GCAM_MOUSE,Ighg;Igh-1a,Ovary,Mus musculus,Old,categorical,6808183.5,LFQ,DIA,Dipali_2023,Old_pooled
P01863,GCAA_MOUSE;GCAM_MOUSE,Ighg;Igh-1a,Ovary,Mus musculus,Young,categorical,677880.5625,LFQ,DIA,Dipali_2023,Young_pooled
P25206,MCM3_MOUSE,Mcm3,Ovary,Mus musculus,Old,categorical,533581.5625,LFQ,DIA,Dipali_2023,Old_pooled
P25206,MCM3_MOUSE,Mcm3,Ovary,Mus musculus,Young,categorical,868109.25,LFQ,DIA,Dipali_2023,Young_pooled
P97310,MCM2_MOUSE,Mcm2,Ovary,Mus musculus,Old,categorical,294387.09375,LFQ,DIA,Dipali_2023,Old_pooled
P97310,MCM2_MOUSE,Mcm2,Ovary,Mus musculus,Young,categorical,610937.875,LFQ,DIA,Dipali_2023,Young_pooled
Q8BMJ2,SYLC_MOUSE,Lars,Ovary,Mus musculus,Old,categorical,832630.625,LFQ,DIA,Dipali_2023,Old_pooled
Q8BMJ2,SYLC_MOUSE,Lars,Ovary,Mus musculus,Young,categorical,934757.9375,LFQ,DIA,Dipali_2023,Young_pooled
Q9Z2D6-2,MECP2_MOUSE,Mecp2,Ovary,Mus musculus,Old,categorical,2123125.25,LFQ,DIA,Dipali_2023,Old_pooled
Q9Z2D6-2,MECP2_MOUSE,Mecp2,Ovary,Mus musculus,Young,categorical,1611425.25,LFQ,DIA,Dipali_2023,Young_pooled
P01868,IGHG1_MOUSE;IGH1M_MOUSE,Ighg1,Ovary,Mus musculus,Old,categorical,2281454.25,LFQ,DIA,Dipali_2023,Old_pooled
P01868,IGHG1_MOUSE;IGH1M_MOUSE,Ighg1,Ovary,Mus musculus,Young,categorical,665350.0,LFQ,DIA,Dipali_2023,Young_pooled
Q00519,XDH_MOUSE,Xdh,Ovary,Mus musculus,Old,categorical,726905.4375,LFQ,DIA,Dipali_2023,Old_pooled
Q00519,XDH_MOUSE,Xdh,Ovary,Mus musculus,Young,categorical,435037.90625,LFQ,DIA,Dipali_2023,Young_pooled
Q9R0P9,UCHL1_MOUSE,Uchl1,Ovary,Mus musculus,Old,categorical,929025.5625,LFQ,DIA,Dipali_2023,Old_pooled
Q9R0P9,UCHL1_MOUSE,Uchl1,Ovary,Mus musculus,Young,categorical,2534566.5,LFQ,DIA,Dipali_2023,Young_pooled
Q9R112,SQRD_MOUSE,Sqrdl,Ovary,Mus musculus,Old,categorical,893368.125,LFQ,DIA,Dipali_2023,Old_pooled
Q9R112,SQRD_MOUSE,Sqrdl,Ovary,Mus musculus,Young,categorical,547364.0,LFQ,DIA,Dipali_2023,Young_pooled
A0A171EBL2,A0A171EBL2_MOUSE;RN213_MOUSE,Rnf213,Ovary,Mus musculus,Old,categorical,287065.625,LFQ,DIA,Dipali_2023,Old_pooled
A0A171EBL2,A0A171EBL2_MOUSE;RN213_MOUSE,Rnf213,Ovary,Mus musculus,Young,categorical,358287.21875,LFQ,DIA,Dipali_2023,Young_pooled
P16045,LEG1_MOUSE,Lgals1,Ovary,Mus musculus,Old,categorical,27587966.0,LFQ,DIA,Dipali_2023,Old_pooled
P16045,LEG1_MOUSE,Lgals1,Ovary,Mus musculus,Young,categorical,20716254.0,LFQ,DIA,Dipali_2023,Young_pooled
Q9CXS4,CENPV_MOUSE,Cenpv,Ovary,Mus musculus,Old,categorical,3897140.25,LFQ,DIA,Dipali_2023,Old_pooled
Q9CXS4,CENPV_MOUSE,Cenpv,Ovary,Mus musculus,Young,categorical,3009101.5,LFQ,DIA,Dipali_2023,Young_pooled
P97449,AMPN_MOUSE,Anpep,Ovary,Mus musculus,Old,categorical,1535632.75,LFQ,DIA,Dipali_2023,Old_pooled
P97449,AMPN_MOUSE,Anpep,Ovary,Mus musculus,Young,categorical,1104612.875,LFQ,DIA,Dipali_2023,Young_pooled
P30416,FKBP4_MOUSE,Fkbp4,Ovary,Mus musculus,Old,categorical,2105802.0,LFQ,DIA,Dipali_2023,Old_pooled
P30416,FKBP4_MOUSE,Fkbp4,Ovary,Mus musculus,Young,categorical,2649441.0,LFQ,DIA,Dipali_2023,Young_pooled
Q99NB1,ACS2L_MOUSE,Acss1,Ovary,Mus musculus,Old,categorical,2047071.25,LFQ,DIA,Dipali_2023,Old_pooled
Q99NB1,ACS2L_MOUSE,Acss1,Ovary,Mus musculus,Young,categorical,1189684.5,LFQ,DIA,Dipali_2023,Young_pooled
P49312,ROA1_MOUSE;Q5EBP8_MOUSE,Hnrnpa1,Ovary,Mus musculus,Old,categorical,10019306.0,LFQ,DIA,Dipali_2023,Old_pooled
P49312,ROA1_MOUSE;Q5EBP8_MOUSE,Hnrnpa1,Ovary,Mus musculus,Young,categorical,12743700.0,LFQ,DIA,Dipali_2023,Young_pooled
Q61235,SNTB2_MOUSE,Sntb2,Ovary,Mus musculus,Old,categorical,1002210.75,LFQ,DIA,Dipali_2023,Old_pooled
Q61235,SNTB2_MOUSE,Sntb2,Ovary,Mus musculus,Young,categorical,736210.75,LFQ,DIA,Dipali_2023,Young_pooled
P10605,CATB_MOUSE,Ctsb,Ovary,Mus musculus,Old,categorical,10772891.0,LFQ,DIA,Dipali_2023,Old_pooled
P10605,CATB_MOUSE,Ctsb,Ovary,Mus musculus,Young,categorical,7130472.0,LFQ,DIA,Dipali_2023,Young_pooled
