Protein,Human_Avg_Delta,Human_Std,Human_Count,Mouse_Avg_Delta,Mouse_Std,Mouse_Count,Direction_Human,Direction_Mouse,Direction_Match
COL4A4,-0.1438536940642979,0.1558147748168692,2,0.3092273610429659,0.09510709020522871,2,Stable,Stable,True
COL4A5,0.27394385251958375,0.6274427038078301,4,0.09213243199151175,0.09472630098493354,2,Stable,Stable,True
COL5A1,-0.39481216312967704,0.31998227955176584,8,-0.1276405469101776,0.481460109812467,7,Stable,Stable,True
COL5A2,-0.37021545536941874,0.3476151364268817,10,-0.016586717467053202,0.53780767910271,8,Stable,Stable,True
COL6A1,-0.23430799053698234,0.1634466242742606,8,0.07080876804640193,0.41710331181519567,10,Stable,Stable,True
COL6A2,-0.15430161122764258,0.3110320686536461,8,0.09499525361963322,0.3723390354553763,10,Stable,Stable,True
COL6A3,-0.28103339061754185,0.3155262862447244,8,0.00802371236390307,0.08376952569898097,4,Stable,Stable,True
COL6A6,-0.013314555227181012,0.37765569069948446,5,-0.018708596002950537,0.5249037983501763,8,Stable,Stable,True
COMP,0.2967765920416349,0.12555727189015267,3,0.7606552753374543,0.45302993924437157,4,Stable,Up,False
CPN2,0.17286787935759046,0.6970085554828092,5,0.057874444410764704,0.20876565302858222,3,Stable,Stable,True
CSPG4,-0.2667594842421436,0.33121681734960867,5,-0.16006273955020517,0.15952158377053005,5,Stable,Stable,True
CST3,0.05535741917194828,0.18404679328870863,6,-0.07728091958508464,0.2200810619153844,9,Stable,Stable,True
CSTB,0.5237034207287398,0.8035793723714345,5,0.19831588875001813,0.2955509755523142,9,Up,Stable,False
CTSB,0.17319559250266928,0.4534178585548695,7,0.29944733092727577,0.34875397375641204,10,Stable,Stable,True
CTSC,0.030199971941038278,0.18737242129071702,3,0.04300731558169426,0.3152506887233869,6,Stable,Stable,True
CTSD,0.35673722730632784,0.35568701156527865,6,0.3406239855236033,0.3439748072344729,10,Stable,Stable,True
CTSF,0.07610451412869046,0.6599045533376794,2,0.7774724633378417,0.785945048011989,7,Stable,Up,False
CTSZ,0.3718366432846391,0.24045168052753452,4,-0.018615527669182827,0.14342545362765313,9,Stable,Stable,True
CXCL12,0.43524674423607157,0.9137175816376066,7,0.5657850903935682,0.21026299638166565,2,Stable,Up,False
DCN,0.03162510678876691,0.3306563657787956,8,-0.0689222858644474,0.1861071209220829,10,Stable,Stable,True
DPT,0.009547146217448732,0.26678299707261316,8,0.04154932062762677,0.29894433735042897,8,Stable,Stable,True
DSPP,-0.2166400898539064,0.2935091418219331,4,-0.0826863000449821,0.06611397212498295,4,Stable,Stable,True
ECM1,0.5230263321353391,0.5445438594564033,7,-0.06626705430977728,0.18362458006326882,8,Up,Stable,False
EDIL3,-0.050960107988062164,0.15071124700361543,3,0.058942434229655505,0.03110531635524491,2,Stable,Stable,True
EFEMP1,0.29506366333491474,0.2694660387998127,8,-0.21666865866730342,0.3224242136886354,7,Stable,Stable,True
EFEMP2,0.054247319259626225,0.13738913486862514,3,-0.061533287768850496,0.0320578579297096,2,Stable,Stable,True
ELN,0.8678431513062175,1.0840676616589233,6,-0.6035438442270636,0.5636569597758507,6,Up,Down,False
EMILIN1,-0.1258040036203068,0.24594694034395498,8,-0.14793625239571367,0.11554717258898267,6,Stable,Stable,True
EMILIN2,-0.5549444325649479,0.14730093291841892,4,-0.21334547619451272,0.15081603188002168,4,Down,Stable,False
F10,0.27598877920096004,0.30222729114266106,3,0.061078587797515446,0.10969061523448016,4,Stable,Stable,True
F12,0.7082760396258094,0.49597241872740966,3,0.07272808073891895,0.058320216785300694,4,Up,Stable,False
F13A1,0.19198984504920671,0.8305278036512843,7,-0.11065898226188922,0.2125458008303445,9,Stable,Stable,True
F2,0.7494539675148542,1.1156206692665938,8,0.11699565194258132,0.1497069101626592,6,Up,Stable,False
F9,-0.15023036211988308,0.2442436762931092,4,0.23728302864210196,0.2546268613166959,2,Stable,Stable,True
FBLN1,0.0837734078718199,0.2689566586748487,9,-0.09746959695703306,0.12716167546084528,8,Stable,Stable,True
FBLN2,-0.2498762109792548,0.528698518945523,5,-0.09575555645214666,0.20779154283263748,7,Stable,Stable,True
FBLN5,-0.1341880647517857,0.4599500984820796,7,-0.4971408719424292,0.3493641940378327,9,Stable,Stable,True
FBN1,-0.10195928985589078,0.39242139034594403,10,-0.1323381002311389,0.29827389784285346,8,Stable,Stable,True
FBN2,-0.048598875420579855,0.26411046653154974,4,-0.9096908665526113,0.9932705984193124,6,Stable,Down,False
FGA,0.7075108772488362,1.1404350224337512,10,-0.0734823590717257,0.1951804866185226,10,Up,Stable,False
FGB,0.8946244408992193,1.0006800159487972,8,-0.01553312204825622,0.2822827223356608,10,Up,Stable,False
FGF2,0.0018616693674311999,0.03226109660438056,2,-0.08681714936851737,0.20933633037946275,3,Stable,Stable,True
FGG,0.8766169966808385,1.169029458215912,8,0.02329544657844685,0.3009943884837091,10,Up,Stable,False
FGL2,-0.2131744039929416,0.42220990626844285,3,-0.34539704519844355,0.2763116688850539,2,Stable,Stable,True
FMOD,-0.3198289781519718,0.4055122980089846,6,-0.13137955064740983,0.2924688266910512,6,Stable,Stable,True
