Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Serpinb6a,0.910177,-0.085091114,1.440325,-0.20060885,0.36434966,0.8073284,0.62372184,1.0241574,-0.46497923,1.087714,0.652185,1.2450935,0.309397,0.84509796,-0.5326339,-0.13476533,-0.57321966,-0.43696153,0.20097247,-0.37021405,-0.632195,1.6813138,0.80912477,-0.4827441,0.06500837,-0.45450372,-0.6277565,-0.47074145,1.5660281,-0.009621263,0.060836866,-0.27257156,-0.11973399,0.44171274,0.758362,1.203831,0.13678306,-0.60457456,-0.46554524,1.3761426,-0.07469654,0.9969342,0.3642821,-0.49048734,-0.54842305,0.36997873,1.088895,0.7089273,-0.2464239,0.892076,-0.13478065,-0.4585085,-0.56803244,-0.4439484,-0.060454845,-0.60403323,-0.05622214,-0.65771115,-0.6201816,0.48515904,-0.41745,-0.71354055,0.5713346,-0.62109244
Serpinb8,1.1540781,-0.24383003,0.92372835,0.82404876,0.64478433,1.8803297,0.8860488,0.016181119,-0.25307208,0.436151,0.18152228,0.5585336,-0.22004908,0.3654583,0.7817259,0.63591564,0.09716666,-0.27321857,0.41780618,0.61461174,-0.22818255,0.3513518,-0.3580976,0.3877737,-0.32861793,-0.2042628,-0.25670797,0.38373798,0.2503811,0.85898864,-0.2110771,0.23310266,0.22712456,0.3778863,1.483918,0.113441005,-0.3797108,-0.0041309595,-0.276138,-0.14808941,1.209424,0.20962092,0.28128248,-0.15443826,0.55429256,-0.49423814,1.0971165,0.0011807382,-0.6718403,-0.35876238,1.0839301,0.47439575,0.26154262,-0.12031764,0.96583307,-0.33818483,0.96326435,0.15617251,0.6200589,1.0380327,-0.28876132,-0.6162158,0.71410346,-0.4197539
Serpinb9,0.97738624,-0.14194173,0.8248105,0.8608556,0.75013083,1.7684959,0.78473806,-0.052143395,-0.15756607,0.37126943,0.11809901,0.40511,-0.12995136,0.30103326,0.7957244,0.59416664,0.167025,-0.20181394,0.37090313,0.49469402,-0.09806204,0.24337345,-0.32636315,0.48034298,-0.2710442,-0.21197551,-0.11021459,0.4632509,0.18525791,0.8395506,-0.2217865,0.2912022,0.19533843,0.35834602,1.3241892,0.0015217215,-0.33742797,-0.036859334,-0.17644471,-0.16475135,1.190393,0.10317071,0.2961651,-0.06965345,0.5774704,-0.44555265,1.0075451,0.051342666,-0.67063165,-0.35245895,1.0731018,0.38499075,0.30799076,-0.121019244,0.82779574,-0.21913046,0.9225808,0.25766322,0.62809,0.9828172,-0.17804259,-0.5455892,0.6422616,-0.3534546
Serpinb9b,0.9952413,0.13524073,1.3715026,0.29379147,0.44533166,1.197873,0.8655935,0.72441804,-0.33013707,1.0895431,0.688894,0.9351975,0.04668348,0.9099428,-0.15283656,0.26890424,-0.22380829,-0.39356786,0.44838998,-0.22208947,-0.42236668,1.0761698,0.5541399,-0.27239996,-0.023993373,-0.26990926,-0.46132416,-0.21501875,1.0494822,0.3889601,-0.36745954,-0.28820515,0.08962994,0.6588321,1.0799599,0.75614643,-0.071621,-0.5203587,-0.4601748,0.7473992,0.19597648,0.7754576,0.22706662,-0.43525422,-0.3327914,0.012175983,1.3876706,0.516947,-0.48431188,0.4415388,0.3696231,-0.20013094,-0.3870327,-0.23060483,0.30093724,-0.48981863,0.39776602,-0.4764526,-0.37896287,0.85960066,-0.3573832,-0.6646514,0.2856898,-0.5240506
Serpinc1,0.8557288,0.16746476,0.7012436,0.6961334,0.6408019,1.5239283,0.4688159,0.048807383,-0.10568529,0.2951223,-0.010321856,0.42184734,0.057657517,0.28493524,0.32144183,0.17450097,-0.15757215,-0.027419329,0.0107477605,0.23126838,-0.16929537,0.47058287,-0.20116645,0.25901246,-0.03015691,-0.46263635,-0.19168198,0.2393508,0.6125217,0.45232904,-0.21099824,0.3282856,-0.14544195,0.1472725,1.0724714,0.13669455,-0.22082657,-0.18188429,-0.108234525,0.27760288,0.9266386,0.041624427,0.6375898,0.007712245,0.30265695,-0.26215357,0.97104275,0.5098082,-0.48063087,-0.10875523,0.82897526,-0.13315761,-0.09871435,-0.4373061,0.49630517,-0.20330203,0.6384767,-0.022919059,0.29650712,0.68214893,-0.15171367,-0.55289793,0.82631683,-0.3389786
Serpind1,0.81689686,-0.4330594,0.74130887,0.3721985,0.47905245,1.3847861,0.7340139,0.08723259,-0.3165267,0.32898444,0.07845214,0.56108844,0.045991145,-0.0018560886,0.36732227,0.42246124,-0.3237688,-0.3746329,0.35813066,0.44843414,-0.47579068,0.8302416,-0.24826372,0.19605353,-0.39731383,-0.23919404,-0.3907134,0.27613223,0.50825834,0.6683738,0.3463089,0.34208798,0.05992279,0.1367696,1.0115769,0.36536404,-0.07482928,-0.20160282,-0.2810759,0.35408702,0.9104989,0.30337292,0.26236585,-0.17415011,0.36237514,-0.32246876,0.5501935,-0.06809163,-0.59877324,-0.1250301,0.7382202,0.27011627,0.27176732,-0.19717312,0.6763812,-0.4492669,0.38665098,-0.12267029,0.32585967,0.6130218,-0.19620997,-0.6213378,0.925288,-0.53557944
Serpine2,0.6024524,-0.20811224,0.8976682,0.3036065,0.5553654,1.1680417,0.5543731,0.38129017,-0.21219838,0.45897025,0.19245405,0.61940515,0.2708001,0.13187549,-0.14544564,0.1622279,-0.44602907,-0.28068715,0.17373377,-0.03775221,-0.47364092,1.024817,0.22676855,-0.06858885,-0.079154015,-0.41580355,-0.38402832,0.04942181,0.9233444,0.3737761,0.19889201,0.20125249,-0.20543063,0.15139139,0.74521977,0.6052821,0.10328922,-0.39868033,-0.28421766,0.8546003,0.59343433,0.4176492,0.3797618,-0.22101313,-0.05891955,0.10628663,0.6805268,0.33394638,-0.533987,0.3518839,0.4832633,-0.22805744,-0.11162639,-0.34037852,0.1743644,-0.3785488,0.11598897,-0.33908254,-0.13315517,0.47857237,-0.11302441,-0.550282,0.83826494,-0.44430345
Serpinf1,0.08408521,-0.02955693,0.13689463,0.5996768,0.9065251,1.1946104,0.042221606,-0.29107904,0.2421591,-0.33243817,-0.4058088,-0.15180111,0.52950144,-0.50493467,0.341591,-0.059543014,-0.41406626,0.3023227,-0.35312968,0.22627255,-0.16846389,0.44347632,-0.35901487,0.60595363,0.086907715,-0.55982745,0.17990507,0.5492323,0.53437734,0.43370217,0.48687974,0.93875647,-0.37482435,-0.29351854,0.34491807,-0.123209715,0.22060595,-0.21304196,0.32309577,0.48734522,1.297096,-0.34650904,0.78408635,0.4062576,0.63347256,-0.01307714,0.040974177,0.4157232,-0.54723036,-0.090812266,0.8038969,-0.20719332,0.24867743,-0.5038478,-0.00063568354,0.100463204,0.25855955,0.24696544,0.49791318,0.19277681,0.398523,-0.20699906,1.2303396,-0.23924136
Serpinf2,0.91786575,-0.41612774,0.9063922,0.23948261,0.43652034,1.3060368,0.77872497,0.2517197,-0.40580326,0.550508,0.18177709,0.74201095,0.10712298,0.21496293,0.20927228,0.37332013,-0.3742894,-0.46227378,0.44600046,0.29536903,-0.5473484,1.044796,-0.1430211,0.02226746,-0.41689563,-0.27307874,-0.50373113,0.11182304,0.67979306,0.5799479,0.32087353,0.20306756,0.07569904,0.22601333,1.0171461,0.5290297,-0.012356758,-0.35552263,-0.3502345,0.52881765,0.68389404,0.43434855,0.2861857,-0.28210002,0.16164522,-0.28245717,0.67424643,0.041927494,-0.5394994,0.00327608,0.60928595,0.13295674,0.1255256,-0.2541415,0.6325273,-0.5358628,0.29434502,-0.29348254,0.0864681,0.6182159,-0.29186946,-0.6893016,0.8804476,-0.6059568
Serping1,0.71997184,-0.42676544,0.6537277,0.43755573,0.57970273,1.407891,0.6137249,0.07190426,-0.22771245,0.15994906,0.054845154,0.49117815,0.09979759,-0.1661697,0.28530574,0.307418,-0.40482795,-0.2424078,0.12512995,0.46717447,-0.45391184,0.80251265,-0.2244361,0.23924452,-0.26923138,-0.34562808,-0.309519,0.30722442,0.6012522,0.6159005,0.44779328,0.49004805,-0.096466064,0.04383959,0.94469434,0.37108323,-0.07846242,-0.13228446,-0.21532708,0.441356,1.0792627,0.26621246,0.34553677,-0.09651846,0.37834966,-0.21411312,0.45870817,0.005644873,-0.6240914,-0.072324514,0.7316797,0.21597517,0.22443768,-0.26072073,0.53804773,-0.37251312,0.38209552,-0.06929463,0.3631005,0.5426097,-0.11269957,-0.537599,1.0370369,-0.45191467
Serpinh1,0.172068,-0.028775156,0.20798738,0.56818795,0.889726,1.1898472,0.04391063,-0.23893505,0.16700523,-0.29111856,-0.36967164,-0.057206273,0.49757147,-0.44926423,0.30277252,-0.09840834,-0.42858523,0.2699147,-0.3660158,0.22633925,-0.2058444,0.47938687,-0.35244453,0.5393037,0.11801574,-0.57039094,0.09307285,0.45279443,0.5883779,0.39467618,0.45726442,0.88605654,-0.35860854,-0.25995362,0.394552,-0.06747419,0.17366591,-0.2330414,0.28016728,0.496033,1.2659998,-0.3053,0.808585,0.34284693,0.5727919,-0.012769878,0.11371747,0.44361213,-0.51058966,-0.070319116,0.75265855,-0.21577829,0.1733604,-0.52234733,0.022526726,0.04181518,0.28867948,0.18231922,0.4342096,0.22002888,0.3025502,-0.25427198,1.2074336,-0.26286972
Serpini1,0.2902042,-0.006632924,0.26033163,0.7392736,0.8299474,1.3733605,0.37098098,-0.29947335,0.17945492,-0.12665516,-0.2290169,-0.10972333,0.31805316,-0.35702795,0.6243285,0.21752639,-0.1605593,0.171123,-0.16289443,0.30765757,-0.03276664,0.29129022,-0.36910468,0.6575784,-0.073527634,-0.38737226,0.22898869,0.6229578,0.3385005,0.6726608,0.15052322,0.753308,-0.13046265,-0.058579326,0.6134882,-0.18070251,0.0704287,-0.17291397,0.2053518,0.16496056,1.2581578,-0.2595989,0.59333265,0.30465806,0.68778026,-0.23375791,0.35880223,0.26737508,-0.6251315,-0.25747752,0.9937384,0.09124996,0.36271662,-0.34214246,0.2825407,0.033022523,0.50309026,0.3360057,0.6172851,0.4717877,0.30086288,-0.33176053,0.9599689,-0.28135043
Sfrp1,0.8746039,-0.27281654,0.6999261,0.64259684,0.6486368,1.4916682,0.69655746,-0.008658171,-0.19409984,0.29163563,0.11621914,0.43846482,-0.088615,0.13041964,0.6394765,0.4721015,-0.030248046,-0.19029087,0.29769626,0.5294055,-0.18975276,0.36814684,-0.30092746,0.42574936,-0.27998245,-0.2032296,-0.13602775,0.37697017,0.25950998,0.70206505,0.035745308,0.35138842,0.19247164,0.23408167,1.114629,0.105714574,-0.24686724,0.038513854,-0.15238917,-0.048869073,1.1038089,0.1968062,0.26138753,-0.07708418,0.5198728,-0.38405937,0.71760464,-0.021295786,-0.62628233,-0.27519137,0.86703086,0.4045964,0.27922928,-0.12246668,0.7368782,-0.25447142,0.6832094,0.23191832,0.5540726,0.7786399,-0.16750973,-0.5144253,0.70405203,-0.38812935
Shh,0.9567989,0.20143715,1.2426264,0.48070714,0.52666616,1.3037927,0.8050486,0.54425716,-0.25164074,0.9362492,0.5711153,0.7712089,0.00035282224,0.82215697,0.050473228,0.33267805,-0.089547634,-0.32168984,0.4071814,-0.13969308,-0.30716425,0.8007505,0.36925715,-0.14421386,-0.003008902,-0.26667595,-0.36603194,-0.081248105,0.8393054,0.47629035,-0.41784662,-0.21511424,0.07924378,0.6190847,1.1195441,0.5452594,-0.14271659,-0.45429623,-0.40370315,0.5060739,0.38580123,0.58521855,0.26411238,-0.36356366,-0.18574584,-0.09291524,1.3663609,0.47545487,-0.5172427,0.2551431,0.5370979,-0.13143516,-0.29360878,-0.21186596,0.37941033,-0.3992108,0.5506255,-0.3533631,-0.2143184,0.9054078,-0.31038398,-0.61630225,0.27446127,-0.44449133
Slit1,0.12173147,0.09607139,0.08762521,0.81919694,0.93379045,1.3491865,0.18582916,-0.40789336,0.31028378,-0.2906977,-0.3754567,-0.27946967,0.458246,-0.47314525,0.6594204,0.12145607,-0.19871461,0.32175893,-0.28969938,0.2932249,0.05086317,0.19530332,-0.4351517,0.7851702,0.010008529,-0.47613472,0.38885748,0.7405718,0.32593167,0.637672,0.21368676,0.9519428,-0.26375234,-0.1634801,0.47500578,-0.32900965,0.1332242,-0.20096976,0.35089946,0.17845938,1.376643,-0.42715448,0.74843794,0.4619583,0.7893414,-0.20754182,0.24511153,0.38959906,-0.6165048,-0.27682495,1.029282,-0.063584685,0.37029058,-0.4350853,0.17622483,0.1861822,0.48084578,0.45029303,0.7016323,0.40223518,0.45670542,-0.2170698,1.0492587,-0.24698693
Slit2,0.12289611,0.09537553,0.08888438,0.8186151,0.9330466,1.3494292,0.1872,-0.40717804,0.3093923,-0.28964084,-0.37450314,-0.2783798,0.45724556,-0.4723993,0.6591731,0.12213442,-0.19842863,0.32069415,-0.28890246,0.2932851,0.05025498,0.19603449,-0.4347071,0.78423244,0.009385526,-0.47554857,0.38765907,0.7397269,0.32604656,0.63796425,0.2131963,0.95050013,-0.2628379,-0.16279787,0.4759838,-0.328004,0.13279718,-0.20080745,0.34990203,0.17840564,1.3758252,-0.42608988,0.7473656,0.4608597,0.7886442,-0.20774573,0.24592237,0.38873538,-0.6165699,-0.27667665,1.0291156,-0.0624848,0.37028277,-0.43448144,0.17692205,0.18507329,0.48100406,0.4494297,0.7010224,0.4027096,0.45559698,-0.21803135,1.0486766,-0.2472167
Slit3,0.26221192,0.24958271,0.091563925,0.8891187,0.9485723,1.4238423,0.13235879,-0.42410618,0.26291037,-0.28464818,-0.37907064,-0.23681182,0.41254175,-0.38801152,0.7146759,0.039505094,-0.14384335,0.3812211,-0.3556534,0.3142393,0.13925296,0.11608149,-0.48504686,0.78960997,0.07751392,-0.5128101,0.37989467,0.69511336,0.3467619,0.60893273,0.055749834,0.9591036,-0.25500804,-0.13504648,0.5915537,-0.3704126,0.009817183,-0.1761471,0.38256785,0.07454932,1.4173325,-0.45875818,0.8946246,0.49134022,0.8010678,-0.2781856,0.41220528,0.52599066,-0.55941355,-0.32903987,1.0651437,-0.11927056,0.26369032,-0.506022,0.26325247,0.2034848,0.645474,0.471604,0.72527087,0.46440506,0.36684024,-0.28931314,1.040683,-0.24242222
Smoc2,1.0727379,-0.18698025,1.5933338,-0.14710617,0.37981823,1.0031149,0.79242915,1.0420656,-0.52137065,1.2206452,0.72083396,1.3552566,0.24506304,0.9366761,-0.47256362,0.024602473,-0.539491,-0.515383,0.38049847,-0.31544036,-0.65285033,1.7070817,0.7519034,-0.4791897,-0.08842391,-0.41284674,-0.6611135,-0.45410365,1.5189942,0.096917704,0.024417937,-0.29840934,-0.011196256,0.5330476,0.93053645,1.2167542,0.076792866,-0.59824765,-0.5090028,1.2947543,-0.006129563,1.0530685,0.31286323,-0.5340299,-0.52656615,0.22403045,1.2491596,0.6466435,-0.3521273,0.8338351,-0.0243209,-0.3974266,-0.5372223,-0.3954773,0.0872591,-0.6461735,0.019760236,-0.6484527,-0.5955732,0.63852066,-0.47128195,-0.7604909,0.5855217,-0.663967
Sparc,0.40785342,0.3284369,0.057902187,0.83358425,0.89577484,1.4664437,-0.034824908,-0.3967772,0.21559064,-0.33772272,-0.48361975,-0.1303919,0.3882189,-0.33475405,0.53216326,-0.14436859,-0.26977885,0.46693423,-0.42899626,0.31272882,0.088652164,0.1774616,-0.5031872,0.7167767,0.13514826,-0.62524664,0.21805502,0.5723983,0.4726677,0.37960568,0.08550057,0.97771937,-0.38539553,-0.30507421,0.66388154,-0.29657656,-0.09572041,-0.056818068,0.43482623,0.19062734,1.3821123,-0.47645378,1.0944237,0.5615211,0.754542,-0.2520439,0.41691637,0.71206826,-0.40050185,-0.30930662,1.0076063,-0.3057809,0.10036346,-0.63185173,0.27263647,0.18542469,0.6189052,0.36923808,0.68582195,0.310616,0.26054493,-0.37145412,1.3207393,-0.19799614
Sparcl1,-0.083075345,-0.062695086,-0.11756742,0.8473315,1.0784405,1.3888903,-0.03406632,-0.515062,0.4544247,-0.51060736,-0.559703,-0.41051644,0.56616163,-0.6481434,0.7146708,0.06906089,-0.29472125,0.4794038,-0.39247245,0.3848545,0.06769009,0.07356927,-0.53055704,0.96329826,0.0130345225,-0.5644381,0.48512697,0.89735407,0.19104242,0.591904,0.5322534,1.2150725,-0.39683026,-0.40155262,0.31589037,-0.39690113,0.19143982,-0.03637016,0.5479825,0.17646906,1.674659,-0.5568205,0.85147923,0.66461396,1.0282481,-0.16861594,-0.11162901,0.33437446,-0.639552,-0.32317817,1.1111642,-0.10050827,0.56884235,-0.48971856,0.048463084,0.34544787,0.41084093,0.63498837,0.9331412,0.19718,0.6320878,-0.044517398,1.3801607,-0.112995565
Spock1,0.15269192,0.07762435,0.12104572,0.80306023,0.9139452,1.3526897,0.22161898,-0.38769817,0.28579938,-0.2609837,-0.34862846,-0.24904716,0.43126148,-0.45230365,0.65221876,0.13944864,-0.19091481,0.29397088,-0.2682802,0.29249695,0.036044598,0.2135945,-0.42217404,0.7590444,-0.0046296716,-0.4593466,0.35790297,0.71560854,0.32877627,0.64408356,0.19979998,0.9116168,-0.23849374,-0.1452769,0.4995074,-0.3006305,0.123263136,-0.19595069,0.3247906,0.17631194,1.3527093,-0.39710134,0.719159,0.43231064,0.76908684,-0.21150726,0.26540655,0.3665734,-0.6177007,-0.27242202,1.0229497,-0.034420192,0.36977744,-0.41800988,0.19364876,0.15717205,0.48432457,0.42744896,0.6836281,0.41278496,0.42717147,-0.2412256,1.0323721,-0.2515667
Spock2,0.15836568,0.07420844,0.12709543,0.80014026,0.9103647,1.3533936,0.22811574,-0.38399845,0.28134313,-0.25552845,-0.34370792,-0.24344116,0.4264145,-0.4484499,0.65089893,0.14268593,-0.18951458,0.2888866,-0.26426363,0.29258054,0.03328354,0.21691534,-0.41981995,0.7544688,-0.007377565,-0.45631462,0.35230944,0.71123415,0.32925573,0.6452241,0.19741353,0.9044719,-0.23387498,-0.14183629,0.5040287,-0.2954985,0.1212845,-0.19501269,0.3199636,0.17591405,1.3484278,-0.39156663,0.7137754,0.426888,0.76544243,-0.21225792,0.2692145,0.3623923,-0.61794543,-0.2716698,1.02174,-0.029042482,0.369591,-0.41486973,0.19693293,0.15189537,0.48499727,0.42333952,0.680456,0.41489714,0.4217878,-0.24547029,1.0293076,-0.2525257
Spon1,0.16989467,0.07474274,0.118351266,0.78906065,0.9155833,1.3221374,0.20502543,-0.38496262,0.26542732,-0.26076508,-0.35156763,-0.23348796,0.42695546,-0.4423536,0.6557038,0.12406808,-0.19408482,0.2897228,-0.27095085,0.2820833,0.03969489,0.20031759,-0.43210113,0.7519792,0.004120365,-0.46159744,0.3409537,0.69331753,0.32116997,0.6233972,0.19908704,0.90316015,-0.231709,-0.15119392,0.4934008,-0.29517496,0.12037875,-0.1928699,0.32296526,0.15885015,1.3440928,-0.39702326,0.7320746,0.4256198,0.7717046,-0.21256858,0.25540096,0.3714001,-0.5984621,-0.2795117,1.0030439,-0.042660236,0.36580488,-0.42753202,0.20141935,0.14815757,0.49189907,0.42984748,0.6820602,0.39555252,0.40323955,-0.24620718,1.0278167,-0.2484985
Srpx,1.1156788,-0.13532674,1.5436853,0.20550585,0.49214077,1.2794925,0.870262,0.8144644,-0.4603616,1.1444305,0.67422855,1.1521652,0.09110204,0.9507325,-0.18302047,0.28242278,-0.32816184,-0.47811043,0.46863434,-0.18657303,-0.5386441,1.2364771,0.49466223,-0.33960348,-0.110340595,-0.33013564,-0.57341266,-0.31201,1.1422579,0.33819693,-0.22576803,-0.27187443,0.11450657,0.6353632,1.1195389,0.8818509,-0.07714176,-0.52790165,-0.48328745,0.8284405,0.27136335,0.82585084,0.26724148,-0.4979784,-0.3704902,-0.03335178,1.4075084,0.53026783,-0.49077725,0.5136783,0.31100997,-0.22702742,-0.4147622,-0.275446,0.31297025,-0.57650685,0.34603795,-0.512618,-0.4191094,0.88421494,-0.45058405,-0.73061204,0.44147646,-0.60329455
Srpx2,0.84849477,-0.4533409,0.82818043,0.52785754,0.61698246,1.5437571,0.7906079,0.06972706,-0.30484325,0.37349787,0.13421223,0.5518437,0.01771124,0.031927772,0.5408951,0.5422547,-0.21479201,-0.3423975,0.37544507,0.510934,-0.4058795,0.66911066,-0.2722469,0.30059466,-0.37775505,-0.20933068,-0.30446023,0.33301458,0.41396305,0.74238825,0.27500346,0.36756676,0.15877913,0.2196807,1.0761297,0.26466194,-0.124267936,-0.11286557,-0.23912722,0.19117925,1.0778234,0.27751124,0.22905633,-0.18189526,0.4316822,-0.36710525,0.66312236,-0.06354272,-0.67393994,-0.17403811,0.8476338,0.37660408,0.31398007,-0.10926056,0.69196075,-0.40427387,0.49656296,0.05267623,0.43905845,0.7577341,-0.19025236,-0.6018534,0.86797285,-0.5144331
Sulf2,0.95756924,0.023765177,1.2104456,0.49539238,0.60511625,1.3442644,0.7873496,0.48433185,-0.24416173,0.8235488,0.46273977,0.751793,-0.012767911,0.7033895,0.13336867,0.38689482,-0.09638637,-0.31990337,0.45993963,-0.040787637,-0.30438834,0.70257986,0.26497003,-0.049366653,-0.069716275,-0.276904,-0.3543834,-0.020243824,0.69988155,0.47531036,-0.3083833,-0.13753211,0.09311569,0.5268519,1.1097864,0.5078396,-0.17273617,-0.36693525,-0.3625015,0.41080576,0.5342924,0.52952385,0.21983469,-0.33658248,-0.068442285,-0.12131578,1.2175028,0.359224,-0.5479237,0.18148549,0.5669148,-0.04794383,-0.19283289,-0.17695814,0.4072458,-0.3730966,0.5270096,-0.25498956,-0.09053719,0.8761016,-0.30160964,-0.5825254,0.38066128,-0.41150934
TCHH,1.2124808,-0.35744685,1.120122,0.6149963,0.6914387,1.7823699,0.994876,0.19478384,-0.32209802,0.6311304,0.22596806,0.7655857,-0.15939361,0.43237334,0.617829,0.671582,-0.0090459585,-0.42675644,0.7652921,0.562603,-0.36469084,0.573995,-0.26498014,0.31739688,-0.45061105,-0.21426892,-0.40953898,0.34635758,0.25188342,0.74454564,0.01659505,0.15444802,0.2843294,0.3734544,1.3963614,0.33743578,-0.33631474,-0.058230102,-0.32233047,0.004781574,1.0513366,0.41338718,0.1242187,-0.282804,0.48581368,-0.4376409,0.9996762,-0.093269944,-0.6591772,-0.2665848,0.9330417,0.4550881,0.3206076,-0.06331211,0.8882153,-0.42386073,0.6840647,0.054106325,0.494786,0.98623747,-0.35909986,-0.6303611,0.76583767,-0.4730739
TGFB1,0.8741886,-0.3532887,0.7453575,0.75632113,0.7372812,1.643836,0.79613173,-0.019459367,-0.12126529,0.2066415,0.14964399,0.4289552,-0.1673848,0.0027126782,0.73665655,0.6009216,-0.012164772,-0.20612687,0.419132,0.73203415,-0.22145832,0.29143324,-0.3493386,0.500172,-0.3067239,-0.1721217,-0.13868219,0.51594716,0.114473864,0.84061146,0.12821175,0.3939786,0.21401061,0.24129266,1.1960524,0.11904972,-0.2835961,0.1507516,-0.19839579,-0.12877983,1.3397763,0.2581633,0.11801845,-0.118332446,0.6776909,-0.38701832,0.6286706,-0.23206568,-0.7010782,-0.320149,0.9879749,0.65057683,0.47890157,0.031065445,0.82242215,-0.21619558,0.73510945,0.31967285,0.7245158,0.8794702,-0.17604774,-0.41817594,0.7025218,-0.30350715
TGFB2,1.272023,-0.3797142,1.2192186,0.4982842,0.57561636,1.6907737,1.0890179,0.31483597,-0.4311276,0.8188975,0.41091955,0.91673994,-0.14231265,0.56801724,0.53623813,0.67717546,-0.049245834,-0.49369538,0.77516574,0.52101535,-0.43323237,0.802108,-0.17427582,0.15805046,-0.47310835,-0.102344096,-0.45512718,0.1758862,0.44553366,0.768646,0.00519979,0.06061314,0.44356525,0.53275967,1.3977493,0.45063326,-0.27586508,-0.18031901,-0.3791402,0.13121626,0.8859589,0.5904736,0.10938145,-0.36100358,0.28269503,-0.45585853,1.1119021,-0.062128246,-0.6519602,-0.14081621,0.8020253,0.46681893,0.16610813,-0.028691173,0.93535054,-0.5050733,0.6097703,-0.08095449,0.27977493,1.0572567,-0.40171957,-0.70077384,0.6170685,-0.58863485
TGFBI,0.95136315,-0.30750614,0.8133579,0.7561921,0.7002153,1.6516532,0.8348412,0.034857944,-0.16833097,0.31070796,0.23350707,0.5074666,-0.20641768,0.13303766,0.74599695,0.61217403,0.033782605,-0.2342161,0.44865197,0.73028904,-0.22538245,0.31879735,-0.33751196,0.44039214,-0.30371982,-0.13953054,-0.179753,0.45786357,0.15082157,0.8579404,0.023329481,0.3056947,0.2735839,0.31994978,1.2676263,0.15119436,-0.29595536,0.116429046,-0.24541211,-0.14662355,1.2772955,0.3303235,0.12064889,-0.17343664,0.6265218,-0.41238296,0.74058026,-0.21907347,-0.6876484,-0.31381494,0.97827315,0.66935605,0.4213011,0.04100107,0.8891732,-0.25318038,0.7806912,0.26908296,0.67864,0.9428633,-0.23558927,-0.46412402,0.6156938,-0.33858842
TGM1,1.1818241,-0.23814797,1.132609,0.49197856,0.5538506,1.542432,0.90842074,0.36252934,-0.34436548,0.6708386,0.4109034,0.84087026,-0.19771558,0.60197663,0.4143888,0.46849874,-0.04178369,-0.37369668,0.54266536,0.4901948,-0.3627265,0.6384846,-0.13328981,0.14046851,-0.30706578,-0.19358253,-0.4123801,0.096226394,0.4352339,0.6373079,-0.11022431,0.0066815857,0.3500098,0.48979428,1.3115813,0.4308895,-0.3305174,-0.13773024,-0.35327148,0.09929128,0.84833145,0.57023805,0.12667054,-0.336814,0.23858356,-0.3670442,1.0565166,-0.023871303,-0.57870847,-0.13614464,0.70241106,0.41552722,0.045359224,-0.08862424,0.79917055,-0.42637253,0.67389715,-0.10487175,0.2306057,0.9717879,-0.40580922,-0.617249,0.5251127,-0.47590947
TGM2,0.85433155,-0.27153355,0.75020945,0.73314786,0.6860937,1.5668813,0.7306742,0.026458755,-0.14009452,0.23778355,0.18064699,0.45438296,-0.16012812,0.085965596,0.66701823,0.5266994,-0.013887882,-0.1808303,0.33057997,0.66850704,-0.21426284,0.3082881,-0.32393646,0.41446486,-0.23949367,-0.19070864,-0.1529054,0.41695648,0.19293694,0.78562325,0.030402556,0.33228582,0.2060454,0.26723015,1.1540048,0.13193293,-0.26256537,0.08157116,-0.20732355,-0.09186107,1.238984,0.26897055,0.18030894,-0.13865113,0.5781462,-0.37009013,0.6869055,-0.16004992,-0.6636669,-0.27262515,0.92461747,0.5623295,0.36183974,-0.028757751,0.78364843,-0.2138294,0.72402346,0.24672648,0.61454934,0.8645206,-0.19863391,-0.4318682,0.6235743,-0.313446
TGM3,0.045356244,-0.028557658,0.11814523,0.77632076,1.1116928,1.4116493,0.058614813,-0.41279995,0.3417599,-0.40334862,-0.47982526,-0.261931,0.55815536,-0.5609653,0.63160527,0.0693438,-0.2967711,0.34592944,-0.31427532,0.3904898,-0.06342971,0.2151949,-0.5048718,0.8421997,-0.008416295,-0.57427394,0.28012463,0.7672578,0.27188644,0.53871864,0.51541734,1.0884264,-0.32886702,-0.2937289,0.34601808,-0.30403233,0.13472958,-0.1444239,0.46580246,0.22971174,1.590263,-0.46852595,0.7920101,0.47252944,0.9057083,-0.16766506,0.04741387,0.37335256,-0.61874926,-0.2523554,1.0208246,-0.07908046,0.45128828,-0.4810586,0.032442156,0.22408047,0.3631401,0.50952,0.7763401,0.32333046,0.42383242,-0.12581974,1.2705187,-0.18864024
