Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
SERPINB1,Glomerular,Tubulointerstitial,0.7761750219277664,-0.5578174682570165,1.3339924901847828,Kidney
Col6a6,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.0486104605684552,-1.2840402638830102,1.3326507244514654,Skeletal muscle
Fmod,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.3254699920473745,-1.002040652410167,1.3275106444575415,Skeletal muscle
Fga,Decellularized_Tissue,Native_Tissue,0.4745987861587831,-0.8458383663082054,1.3204371524669885,Heart
CTSC,Glomerular,Tubulointerstitial,-1.1318578641462425,0.1877753376938372,1.3196332018400796,Kidney
Serpina3k,Decellularized_Tissue,Native_Tissue,1.3006298555566451,-0.0129231188042471,1.3135529743608922,Heart
AMBP,NP,OAF,1.2390793979189092,-0.0744092914464879,1.3134886893653972,Intervertebral_disc
Col6a1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.4779290312514246,0.8302392597311994,1.308168290982624,Skeletal muscle
Nid1,Decellularized_Tissue,Native_Tissue,0.9283012518958332,-0.3767752113572258,1.3050764632530591,Heart
ECM1,Glomerular,Tubulointerstitial,-0.7585404703315441,0.5459877031573492,1.3045281734888934,Kidney
Plxdc2,Cortex,Hippocampus,0.1245552719268069,-1.1707351530374634,1.2952904249642703,Brain
Papln,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.1504286822319074,-0.142521065853203,1.2929497480851104,Skeletal muscle
F13b,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.2614900461148452,-1.0222874060139708,1.283777452128816,Skeletal muscle
SERPINA7,IAF,OAF,0.5975627414224306,-0.6852632703757845,1.282826011798215,Intervertebral_disc
Serpina1d,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-1.139213967009967,0.1410901353951074,1.2803041024050743,Skeletal muscle
COL1A1,Glomerular,Tubulointerstitial,1.0045046942502915,-0.2749044839994048,1.2794091782496964,Kidney
ANXA11,Glomerular,Tubulointerstitial,0.1684219953291106,-1.091991898752765,1.2604138940818757,Kidney
POSTN,Cortex,Ovary,-0.1756161186283106,1.0823779445353172,1.2579940631636277,Ovary
Lama2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.4537701468938966,-0.8005036158673935,1.25427376276129,Skeletal muscle
HRNR,IAF,NP,-0.5574199381701344,0.69291767697239,1.2503376151425245,Intervertebral_disc
S100a9,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.4518312555231665,0.7958372852231983,1.2476685407463648,Skeletal muscle
COL5A2,Glomerular,Tubulointerstitial,-0.6357823138042151,0.6052419662725321,1.2410242800767473,Kidney
Tgfbi,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.1386340174819555,1.0993312544442622,1.2379652719262177,Skeletal muscle
Dpt,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.4402796122846262,-0.7950656670666336,1.2353452793512598,Skeletal muscle
Col1a2,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.066815013893139,1.1637489470878175,1.2305639609809564,Skeletal muscle
Lama5,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.8516986567659359,-0.3779740990687356,1.2296727558346716,Skeletal muscle
Serpinb1a,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.2904850858827423,0.933766970968866,1.2242520568516082,Skeletal muscle
Serpinb8,Cortex,Hippocampus,0.2338554188844326,-0.9893905292717888,1.2232459481562215,Brain
Lama5,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.8516986567659359,-0.3647493576017508,1.2164480143676868,Skeletal muscle
LAMA1,Glomerular,Tubulointerstitial,0.6271707897232356,-0.5816977898263179,1.2088685795495535,Kidney
SBSPON,Glomerular,Tubulointerstitial,-0.8924319660743558,0.3146047385420381,1.207036704616394,Kidney
SERPINA7,NP,OAF,0.5180766298494376,-0.6852632703757845,1.203339900225222,Intervertebral_disc
Nid2,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.1832744621772061,-1.0107064678727211,1.1939809300499271,Skeletal muscle
Vwa1,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.5536955617128403,-0.6356879083653479,1.1893834700781882,Skeletal muscle
