Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
PXDN,8,3.1428571428571432,0.0031864880993931685,0.11594202898550725,0.05388660759311289,0.14477059721976776,0.10597397303806709,,,,
TFRC,7,4.333333333333334,0.003004727483141581,0.10144927536231885,0.07429820137838293,0.13651273083363988,0.10382298980853438,,,,
PPIA,6,3.5999999999999996,0.0037031172590619396,0.08695652173913043,0.06172465960665657,0.16824242879530013,0.10377273521623918,,,,
GSN,7,4.0,0.0031129569174849084,0.10144927536231885,0.0685829551185073,0.1414298807987143,0.10358356092009402,,,,
COL10A1,8,3.7142857142857144,0.002696946355506482,0.11594202898550725,0.0636841726100425,0.12252941871356877,0.10224088899128628,3.0,1.0,0.5654444522729952,UP
GPT,7,4.333333333333334,0.0028577048622438254,0.10144927536231885,0.07429820137838293,0.1298331036176346,0.10181910164373278,,,,
PLXND1,4,2.666666666666667,0.004642871793970212,0.057971014492753624,0.04572197007900488,0.21093796727371616,0.10018638700291776,,,,
DNAJB11,7,1.666666666666667,0.0036201334835756016,0.10144927536231885,0.02857623129937805,0.16447225600256443,0.09849425633551029,,,,
ANPEP,7,3.666666666666667,0.002836437994344701,0.10144927536231885,0.0628677088586317,0.12886689346064814,0.09810009084071149,,,,
F13B,9,1.4999999999999996,0.0027670425998413055,0.13043478260869565,0.025718608169440233,0.1257140768195092,0.09760371854016309,,,,
F12,8,2.8571428571428568,0.0026029315927964887,0.11594202898550725,0.04898782508464807,0.11825807894374743,0.09655058280272155,6.0,0.8571428571428571,0.5804573992103107,UP
LIPE,5,3.5,0.003558330223268662,0.07246376811594203,0.060010085728693895,0.16166437013395932,0.09548784400517277,,,,
COL5A3,9,1.0000000000000004,0.0027928490511180968,0.13043478260869565,0.017145738779626836,0.1268865322773455,0.09538359436056996,4.0,1.0,0.5812753849967762,DOWN
FLG,2,2.0,0.0053651601749519955,0.028985507246376812,0.03429147755925365,0.24375344218465192,0.0950076788217224,4.0,0.75,0.4792034836633521,DOWN
LAMB2,9,0.7500000000000003,0.0028444171796353965,0.13043478260869565,0.012859304084720125,0.12922940898991722,0.09480052696586946,,,,
PRELP,5,4.0,0.003247641050160928,0.07246376811594203,0.0685829551185073,0.14754893780295888,0.09382507512281667,10.0,0.8,0.5340199945104679,UP
COL8A1,8,2.2857142857142856,0.002593307057489616,0.11594202898550725,0.03919026006771846,0.11782081080375216,0.09348013285564408,7.0,0.8571428571428571,0.4523927852405797,DOWN
F13A1,8,2.2857142857142856,0.002588404387168061,0.11594202898550725,0.03919026006771846,0.11759806950101254,0.0934133104648222,,,,
SEMA3A,4,2.666666666666667,0.004145211159350303,0.057971014492753624,0.04572197007900488,0.18832792604983292,0.0934033746357528,4.0,0.75,0.5210257086721696,UP
DPP4,6,3.5999999999999996,0.0029331843218681434,0.08695652173913043,0.06172465960665657,0.13326233545745186,0.09327870721488471,,,,
CFL1,5,3.0,0.0035659198323416113,0.07246376811594203,0.05143721633888048,0.16200918618344173,0.09301942800307347,,,,
