Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction,Community
SERPING1,12,7.454545454545455,0.0039062241757638,0.1739130434782608,0.1278136890844909,0.1774701141696786,0.1611503583675552,,,,,1
ADIPOQ,9,7.25,0.0050986884802608,0.1304347826086956,0.1243066061522945,0.2316469270559915,0.1589599730059641,,,,,5
ACE,10,7.777777777777778,0.0044556631523893,0.144927536231884,0.1333557460637642,0.2024325826618851,0.1587075131104484,,,,,3
LAMA4,14,3.8461538461538463,0.0042147304271276,0.2028985507246377,0.0659451491524108,0.19148637058202,0.1583888762101843,11.0,0.7272727272727273,0.621513476111835,DOWN,0
PECAM1,12,6.0,0.0042318335896163,0.1739130434782608,0.1028744326777609,0.1922634125701273,0.1581065709656708,,,,,0
SOD1,8,7.142857142857143,0.0053756366320239,0.1159420289855072,0.1224695627116202,0.2442294153876726,0.1563865050239907,,,,,2
APOA4,13,4.666666666666666,0.0041661874421049,0.1884057971014492,0.0800134476382585,0.1892809341537785,0.1561506333781908,,,,,1
VCAN,11,6.6,0.0040514876822838,0.1594202898550724,0.113161875945537,0.1840698201585823,0.1529376247732647,10.0,0.75,0.6153031564970387,DOWN,0
HSPD1,9,5.249999999999999,0.0052690558988885,0.1304347826086956,0.0900151285930408,0.239387170286845,0.150994602707444,,,,,2
B2M,11,6.6,0.0038505460281128,0.1594202898550724,0.113161875945537,0.1749405083980264,0.150198831245098,,,,,1
LOX,11,6.0,0.0039029834841399,0.1594202898550724,0.1028744326777609,0.1773228809627218,0.1478273100341738,5.0,0.8,0.5579957392953699,DOWN,0
S100A10,8,5.142857142857142,0.0054948845788611,0.1159420289855072,0.0881780851523665,0.2496471655698031,0.1477243868108537,,,,,2
LPL,11,4.4,0.0042121068788095,0.1594202898550724,0.075441250630358,0.19136717583062,0.1438106438803224,,,,,1
ELANE,10,7.111111111111112,0.0034293127103613,0.144927536231884,0.121925253544013,0.1558027626799843,0.1412894193599528,3.0,1.0,0.572231910628729,DOWN,1
LAMA5,13,2.5,0.0038592688126377,0.1884057971014492,0.042864346949067,0.1753368076107316,0.1408226652085193,,,,,0
P3H1,11,5.2,0.0036445926855239,0.1594202898550724,0.0891578416540595,0.1655835023537603,0.1401905191443749,,,,,0
ITIH2,12,3.636363636363636,0.0036662679162912,0.1739130434782608,0.0623481410168248,0.1665682655178404,0.1382401393517039,7.0,0.7142857142857143,0.5977244480067161,UP,1
COMP,9,7.25,0.0034685832631587,0.1304347826086956,0.1243066061522945,0.1575869279441552,0.1367419732724131,4.0,0.8,0.5278770492772994,UP,0
S100A6,7,4.0,0.0052117911343902,0.1014492753623188,0.0685829551185073,0.2367854803079445,0.1321902407728631,,,,,2
COL4A5,11,4.0,0.0033642722820762,0.1594202898550724,0.0685829551185073,0.1528478036929887,0.1301973435854777,3.0,0.8,0.4594281580014974,UP,0
F10,11,4.0,0.0033623700272905,0.1594202898550724,0.0685829551185073,0.1527613792178907,0.1301714162429483,6.0,0.7142857142857143,0.5147213572521863,UP,1
SERPINA3,10,4.222222222222223,0.0036379233098503,0.144927536231884,0.0723931192917577,0.165280494945847,0.129273098764035,8.0,0.8,0.6087542355154022,UP,1
HSP90B1,9,3.4999999999999996,0.0043182809371897,0.1304347826086956,0.0600100857286938,0.1961909446198022,0.129034222148027,,,,,2
PLOD2,9,5.5,0.0033455260192268,0.1304347826086956,0.0943015632879475,0.1519961113019628,0.1260632154204513,4.0,1.0,0.571737189908303,DOWN,0
FBLN5,9,4.5,0.0036761097564638,0.1304347826086956,0.0771558245083207,0.1670154063936509,0.1254252823140697,,,,,0
COL9A2,8,6.571428571428571,0.0032147956754307,0.1159420289855072,0.1126719976946905,0.1460566854024237,0.1239954165233372,5.0,1.0,0.5885257735955348,DOWN,0
CP,11,1.8000000000000007,0.0034056793086353,0.1594202898550724,0.0308623298033283,0.1547290346209155,0.1194455252693021,,,,,1
APOD,9,4.5,0.0031346674807868,0.1304347826086956,0.0771558245083207,0.1424162492134603,0.1180455351600126,,,,,1
ANXA1,7,4.0,0.0041410563450618,0.1014492753623188,0.0685829551185073,0.1881391618281816,0.1175963452289342,10.0,0.8,0.6248622220268746,DOWN,2
COL4A3,10,3.333333333333334,0.0030943005220343,0.144927536231884,0.0571524625987561,0.140582271321728,0.1172914346688988,3.0,0.8,0.4417501522957479,DOWN,0
PLXNA1,5,3.5,0.0051578330635868,0.072463768115942,0.0600100857286938,0.2343340221849679,0.1172887396204753,,,,,6
TSG101,6,5.2,0.0040618298544963,0.0869565217391304,0.0891578416540595,0.1845396924446384,0.1168918689252615,,,,,2
PDIA3,8,3.428571428571429,0.0038317069938278,0.1159420289855072,0.0587853901015777,0.1740846011548762,0.116237808971139,,,,,2
SDC2,9,3.2500000000000004,0.0033235892011874,0.1304347826086956,0.0557236510337871,0.1509994635350153,0.114190847414119,4.0,0.75,0.4180593763674069,UP,0
AZGP1,9,4.0,0.0028932066237686,0.1304347826086956,0.0685829551185073,0.1314460427085675,0.1121826123916007,,,,,1
C1QB,7,6.0,0.0029003703739897,0.1014492753623188,0.1028744326777609,0.1317715108620598,0.1109734932068737,7.0,0.7142857142857143,0.5219463717224228,UP,1
ITIH4,10,1.9999999999999996,0.0030766227569205,0.144927536231884,0.0342914775592536,0.1397791236139038,0.1101921948447008,,,,,1
OGN,6,4.800000000000001,0.0036398910527783,0.0869565217391304,0.0822995461422087,0.1653698947207614,0.1090834409545432,10.0,0.8,0.6236904423538654,UP,4
